Rk,Team▲,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Atlanta Hawks,72,241.4,44.7,90.4,.494,14.0,36.4,.384,30.7,54.0,.569,17.2,21.9,.787,10.9,33.3,44.3,28.3,7.6,5.7,14.2,19.6,120.5
2,Boston Celtics,72,241.7,41.5,91.6,.454,12.8,36.6,.350,28.7,55.0,.523,13.7,17.8,.767,11.0,32.2,43.2,24.9,6.2,3.7,11.9,17.9,109.6
3,Brooklyn Nets,73,241.7,41.6,88.2,.471,12.9,34.6,.373,28.7,53.6,.535,17.5,21.6,.808,10.2,34.0,44.2,25.4,6.8,4.8,12.8,18.2,113.5
4,Charlotte Hornets,72,240.7,43.1,87.4,.494,13.5,35.9,.377,29.6,51.5,.575,16.9,21.2,.799,10.4,34.9,45.3,28.5,7.1,5.0,13.7,17.5,116.8
5,Chicago Bulls,73,243.8,41.0,87.2,.470,14.5,39.8,.365,26.5,47.4,.559,17.0,21.8,.781,10.3,33.5,43.8,28.0,6.7,5.0,14.0,19.0,113.6
6,Cleveland Cavaliers,73,241.7,40.2,87.6,.459,12.1,33.6,.361,28.1,54.0,.520,16.8,21.5,.784,10.1,32.5,42.6,24.6,7.6,4.9,13.4,18.8,109.4
7,Dallas Mavericks,72,240.0,43.2,90.4,.478,13.1,35.8,.367,30.1,54.6,.551,17.1,22.2,.769,11.1,33.9,45.0,27.7,7.2,4.1,13.7,20.5,116.6
8,Denver Nuggets,73,240.3,40.8,87.9,.464,11.3,31.4,.359,29.5,56.5,.522,17.1,22.0,.776,11.0,31.3,42.2,25.7,7.1,4.8,12.4,18.0,109.9
9,Detroit Pistons,73,241.0,43.7,89.1,.491,12.2,32.7,.372,31.6,56.4,.560,20.4,25.4,.802,9.4,33.1,42.5,27.1,8.9,5.9,12.1,18.1,120.0
10,Golden State Warriors,72,242.1,42.5,90.7,.468,13.2,36.8,.359,29.3,53.8,.543,18.0,22.8,.789,10.8,32.4,43.3,26.8,7.7,5.0,12.9,18.4,116.2
11,Houston Rockets,72,242.1,40.6,88.2,.460,12.3,35.5,.346,28.3,52.7,.537,19.2,25.4,.755,10.7,34.0,44.7,24.3,7.3,5.9,13.6,19.8,112.6
12,Indiana Pacers,74,240.3,44.8,89.9,.499,10.9,29.3,.371,34.0,60.6,.561,20.4,25.9,.787,11.0,32.6,43.6,24.8,6.7,5.5,14.0,18.5,120.9
13,Los Angeles Clippers,72,240.3,41.8,88.7,.472,13.0,35.1,.370,28.8,53.6,.538,16.2,20.9,.776,11.1,30.8,41.9,26.5,7.1,4.6,13.0,19.2,112.9
14,Los Angeles Lakers,73,242.4,44.6,94.2,.473,14.2,38.0,.373,30.4,56.2,.541,14.5,18.2,.797,11.1,33.2,44.4,28.5,8.0,4.8,13.1,19.9,117.8
15,Memphis Grizzlies,73,241.4,41.4,87.4,.474,13.3,35.2,.379,28.1,52.2,.539,16.9,21.7,.779,10.7,35.1,45.8,26.6,8.1,6.4,14.9,19.1,113.1
16,Miami Heat,72,240.3,40.3,85.7,.471,13.3,36.7,.361,27.1,49.0,.553,15.0,19.4,.774,9.2,33.7,42.9,26.7,6.6,4.9,13.7,18.9,108.9
17,Milwaukee Bucks,72,241.7,43.5,92.4,.470,12.7,35.4,.359,30.8,57.0,.540,17.4,21.6,.805,10.4,33.8,44.2,26.7,6.8,4.2,12.1,19.5,117.0
18,Minnesota Timberwolves,72,241.7,38.9,86.9,.447,11.3,32.3,.350,27.5,54.6,.505,17.3,22.0,.786,10.3,31.0,41.3,24.2,7.4,4.7,14.1,19.8,106.3
19,New Orleans Pelicans,72,240.3,40.3,87.7,.460,13.4,38.8,.345,26.9,48.8,.551,16.5,21.1,.783,10.3,32.0,42.3,26.6,6.5,5.3,14.1,18.5,110.5
20,New York Knicks,72,240.0,40.0,85.8,.467,12.5,34.3,.365,27.5,51.5,.535,15.0,19.6,.764,10.1,30.3,40.4,25.5,6.8,5.3,13.1,19.1,107.5
21,Oklahoma City Thunder,72,241.7,40.8,89.3,.457,13.4,36.9,.363,27.4,52.4,.523,18.3,23.3,.786,11.9,32.9,44.8,27.0,7.0,5.1,15.8,19.1,113.2
22,Orlando Magic,72,241.4,39.9,84.3,.474,11.5,32.3,.355,28.5,51.9,.548,17.3,22.4,.773,9.0,30.9,39.9,23.9,8.1,4.6,14.9,21.0,108.7
23,Philadelphia 76ers,73,240.7,40.6,86.3,.471,11.9,33.6,.354,28.7,52.6,.545,18.9,23.9,.790,11.1,33.4,44.5,26.1,6.1,6.2,14.5,18.8,112.0
