Rk,Team▲,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Atlanta Hawks,82,241.8,39.2,86.1,.455,4.5,12.4,.367,34.6,73.7,.469,16.8,21.9,.769,12.8,30.2,43.0,23.0,8.0,4.9,12.2,22.3,99.7
2,Boston Celtics,82,240.6,36.1,76.9,.470,4.4,12.1,.361,31.7,64.7,.490,23.5,31.3,.753,10.5,30.9,41.4,21.9,7.8,5.8,17.0,23.5,100.1
3,Charlotte Hornets*,82,241.2,37.2,83.1,.448,5.0,13.2,.378,32.2,69.8,.461,16.4,22.0,.745,11.8,31.1,42.9,23.2,7.4,5.1,15.8,25.3,95.8
4,Chicago Bulls,82,241.5,35.6,78.0,.456,4.4,12.8,.341,31.2,65.2,.478,18.7,25.2,.741,12.2,29.5,41.7,23.2,10.4,5.6,15.2,24.0,94.2
5,Cleveland Cavaliers,82,242.1,36.4,82.1,.443,5.1,15.0,.342,31.3,67.2,.465,22.6,29.1,.776,12.4,31.5,43.9,23.7,8.0,6.1,16.9,25.1,100.5
6,Dallas Mavericks,82,240.6,39.3,86.0,.457,5.2,15.2,.345,34.1,70.8,.481,18.1,24.5,.740,15.3,33.2,48.4,23.2,7.4,5.1,16.1,22.1,102.0
7,Denver Nuggets,82,242.1,38.2,84.8,.450,4.9,13.7,.354,33.3,71.1,.469,19.9,26.5,.751,12.5,31.8,44.3,24.4,7.5,5.6,14.4,23.6,101.1
8,Detroit Pistons*,82,241.8,38.0,81.8,.465,5.6,15.0,.371,32.5,66.7,.486,20.4,27.3,.746,11.9,30.5,42.4,23.1,8.0,4.8,17.1,27.1,102.0
9,Golden State Warriors,82,240.9,38.6,82.6,.467,5.2,14.2,.367,33.4,68.5,.488,21.4,28.4,.754,13.3,32.8,46.1,24.8,8.4,6.0,16.3,23.0,103.8
10,Houston Rockets,82,241.8,39.3,86.3,.456,4.3,12.1,.354,35.1,74.2,.473,17.4,22.3,.779,12.5,29.9,42.4,22.7,9.0,5.3,13.7,22.4,100.3
11,Indiana Pacers*,82,240.6,38.0,85.1,.446,4.0,12.3,.327,34.0,72.9,.466,16.8,22.2,.755,12.7,31.0,43.7,21.2,7.4,3.9,13.7,23.3,96.7
12,Los Angeles Clippers,82,240.3,40.0,83.9,.477,5.1,13.1,.387,34.9,70.8,.494,18.4,24.9,.741,12.7,32.9,45.6,24.1,7.6,4.6,14.3,21.1,103.5
13,Los Angeles Lakers*,82,241.5,34.6,83.2,.416,4.5,13.9,.326,30.1,69.3,.434,18.5,24.9,.742,12.3,30.9,43.1,19.5,7.6,4.2,14.6,25.6,92.3
14,Miami Heat*,82,241.8,33.9,80.4,.422,5.0,13.8,.361,29.0,66.6,.434,18.4,24.7,.748,11.9,28.5,40.4,19.3,7.6,4.4,14.0,21.9,91.3
15,Milwaukee Bucks*,82,242.1,37.0,81.0,.457,6.5,16.5,.391,30.5,64.5,.473,20.5,27.3,.752,12.6,28.9,41.5,24.2,7.8,4.1,15.9,22.8,101.0
16,Minnesota Timberwolves*,82,242.7,35.7,80.2,.445,4.6,13.0,.356,31.0,67.2,.462,20.0,26.6,.752,11.2,29.8,40.9,21.2,7.2,4.2,15.0,20.5,96.0
17,New Jersey Nets,82,241.8,38.1,82.2,.464,4.5,12.4,.363,33.6,69.9,.481,18.3,24.5,.747,13.8,32.4,46.2,22.8,6.9,5.7,16.7,22.8,99.0
18,New York Knicks*,82,241.8,33.1,78.0,.424,4.9,14.6,.338,28.1,63.4,.444,19.6,26.3,.747,11.3,29.8,41.1,19.6,7.4,4.3,14.2,21.9,90.7
19,Orlando Magic,82,240.9,37.5,84.4,.445,5.3,15.6,.338,32.3,68.8,.469,19.1,25.7,.745,13.3,30.2,43.5,24.3,8.8,5.8,18.1,24.5,99.4
20,Philadelphia 76ers*,82,241.8,35.0,80.4,.435,5.1,14.3,.356,29.9,66.1,.452,18.4,24.4,.755,13.0,30.5,43.5,22.3,7.7,6.5,17.6,24.1,93.4
21,Phoenix Suns*,82,241.5,34.5,81.3,.424,4.9,14.0,.352,29.5,67.3,.439,19.9,26.9,.739,13.1,30.1,43.1,20.7,8.9,5.2,17.3,21.9,93.7
22,Portland Trail Blazers*,82,241.2,34.5,80.0,.431,4.8,14.6,.330,29.6,65.4,.453,17.3,24.2,.716,11.9,27.1,39.0,20.8,8.0,4.3,14.5,22.8,91.0
23,Sacramento Kings*,82,241.5,39.9,88.3,.452,4.8,13.7,.353,35.0,74.6,.470,17.5,23.3,.751,13.9,33.7,47.6,23.8,9.2,4.9,17.5,23.7,102.0
24,San Antonio Spurs*,82,242.1,35.2,82.7,.425,4.3,12.6,.343,30.8,70.1,.440,15.6,21.0,.739,12.0,29.4,41.4,20.3,7.9,5.2,14.4,23.1,90.2
25,Seattle SuperSonics*,82,241.2,38.2,84.6,.451,5.4,15.8,.340,32.8,68.9,.477,16.4,21.9,.748,13.2,31.8,45.1,23.6,7.2,5.3,15.3,22.4,98.1
26,Toronto Raptors*,82,240.9,36.6,80.7,.454,4.2,12.5,.339,32.4,68.2,.475,19.9,26.0,.764,11.7,31.1,42.8,21.8,6.8,5.3,15.2,22.9,97.3
27,Utah Jazz*,82,240.9,33.9,76.1,.446,4.7,13.4,.354,29.2,62.7,.465,19.5,26.1,.746,10.8,27.3,38.1,19.8,7.2,5.0,15.5,24.7,92.0
28,Vancouver Grizzlies,82,242.1,38.2,80.6,.474,4.4,13.2,.333,33.8,67.4,.502,18.7,24.3,.769,11.8,28.5,40.3,23.6,8.8,6.3,15.0,23.3,99.5
29,Washington Wizards,82,241.5,36.6,79.8,.459,4.8,12.8,.371,31.9,67.0,.476,21.8,29.3,.744,11.7,29.5,41.2,21.9,8.4,6.1,14.9,24.0,99.9
,League Average,82,241.5,36.8,82.1,.449,4.8,13.7,.353,32.0,68.4,.468,19.0,25.3,.750,12.4,30.5,42.9,22.3,7.9,5.2,15.5,23.3,97.5
