Rk,Team▲,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Atlanta Hawks,82,240.6,35.6,80.6,.442,4.8,13.2,.367,30.8,67.4,.457,20.1,26.3,.765,12.5,30.9,43.5,21.2,8.5,6.3,14.8,20.7,96.2
2,Boston Celtics,82,241.8,35.8,78.0,.459,5.2,14.3,.368,30.5,63.7,.480,19.9,26.6,.750,10.8,32.3,43.1,23.0,7.9,5.4,17.1,23.2,96.8
3,Charlotte Hornets*,82,242.4,33.7,79.3,.426,4.7,13.2,.360,29.0,66.1,.439,17.6,23.3,.756,10.9,29.7,40.6,21.3,7.5,4.6,14.7,21.6,89.8
4,Chicago Bulls,82,242.1,36.4,77.2,.472,4.2,11.9,.356,32.2,65.3,.493,19.6,26.9,.730,11.7,31.1,42.8,23.6,7.7,5.2,14.8,21.4,96.7
5,Cleveland Cavaliers,82,241.8,35.7,80.3,.445,5.1,14.1,.365,30.5,66.2,.462,19.9,25.9,.768,12.1,29.3,41.3,22.9,8.5,6.6,15.0,22.1,96.5
6,Dallas Mavericks*,82,241.5,35.8,81.6,.439,4.6,13.9,.334,31.2,67.7,.460,19.9,27.2,.731,13.0,32.0,45.0,21.7,7.6,4.6,15.5,22.5,96.2
7,Denver Nuggets,82,241.2,37.6,84.3,.446,5.1,14.2,.356,32.5,70.1,.464,18.8,25.0,.753,12.3,32.2,44.6,24.9,7.2,6.1,13.1,21.4,99.0
8,Detroit Pistons,82,242.1,36.3,83.5,.434,5.2,15.0,.348,31.1,68.5,.453,19.5,26.5,.736,12.3,32.6,44.9,22.7,8.2,4.8,15.5,25.1,97.3
9,Golden State Warriors,82,241.2,38.8,82.2,.472,5.4,14.1,.379,33.4,68.1,.491,18.6,24.5,.760,12.7,32.8,45.5,24.9,8.8,6.0,16.4,21.5,101.5
10,Houston Rockets,82,241.8,36.8,82.1,.449,4.4,12.4,.354,32.5,69.7,.465,16.9,22.7,.744,12.0,29.5,41.6,21.2,7.4,4.9,13.3,21.6,94.9
11,Indiana Pacers*,82,243.7,34.5,81.5,.423,4.6,13.7,.336,29.9,67.8,.441,19.2,25.3,.758,12.7,30.4,43.1,20.7,7.2,4.7,13.6,23.0,92.8
12,Los Angeles Clippers,82,244.3,36.5,82.9,.440,4.3,13.1,.329,32.2,69.8,.461,18.0,24.2,.743,12.7,29.7,42.5,21.8,7.8,5.0,12.7,21.9,95.3
13,Los Angeles Lakers*,82,242.7,36.4,83.1,.438,5.0,14.2,.354,31.3,68.9,.455,19.5,25.8,.754,12.0,29.4,41.3,20.2,7.5,4.0,13.1,24.4,97.2
14,Miami Heat*,82,242.4,32.9,76.4,.431,4.4,13.3,.331,28.5,63.1,.452,16.3,22.2,.737,11.1,30.8,42.0,17.3,7.3,5.2,15.5,22.2,86.6
15,Milwaukee Bucks*,82,241.2,35.5,80.8,.439,5.4,15.2,.352,30.2,65.6,.460,20.5,26.7,.768,12.4,30.4,42.7,23.0,7.2,4.3,15.5,21.7,96.9
16,Minnesota Timberwolves*,82,241.8,36.3,80.3,.452,4.3,12.1,.351,32.0,68.2,.470,19.1,26.4,.724,11.8,30.5,42.3,22.4,7.1,4.4,15.2,20.2,96.0
17,New Jersey Nets,82,240.6,35.8,78.7,.455,5.2,14.5,.360,30.6,64.2,.477,20.3,27.2,.746,12.2,32.0,44.2,22.4,7.5,6.4,15.9,22.0,97.1
18,New York Knicks*,82,242.7,31.3,75.1,.417,5.4,15.4,.352,25.9,59.7,.434,18.0,24.6,.733,10.6,29.5,40.1,19.2,7.3,4.1,14.8,21.4,86.1
19,Orlando Magic*,82,243.4,34.5,79.3,.435,4.5,12.9,.346,30.0,66.3,.453,23.0,31.3,.735,12.9,31.8,44.8,21.9,8.5,5.4,17.2,23.7,96.5
20,Philadelphia 76ers*,82,242.1,35.0,81.7,.429,5.2,15.2,.342,29.8,66.5,.448,15.2,20.2,.749,12.0,28.9,40.9,21.6,8.2,5.6,15.4,23.6,90.4
21,Phoenix Suns*,82,241.5,34.0,78.3,.435,4.0,11.4,.349,30.1,66.9,.449,19.7,25.9,.761,11.0,31.6,42.6,20.1,8.3,5.1,17.5,22.2,91.8
22,Portland Trail Blazers*,82,241.2,34.4,78.5,.438,5.0,13.5,.368,29.4,65.0,.452,17.5,23.5,.744,11.5,27.3,38.8,21.3,7.9,4.0,14.8,21.2,91.2
23,Sacramento Kings*,82,244.9,37.6,87.1,.432,4.9,13.8,.355,32.8,73.3,.447,15.7,21.0,.749,13.7,32.2,45.9,22.1,8.1,5.8,16.3,21.5,95.9
24,San Antonio Spurs*,82,241.8,34.6,82.6,.419,4.2,12.7,.329,30.4,69.8,.435,15.0,20.3,.741,11.8,29.7,41.5,19.7,7.3,5.2,13.5,23.7,88.4
25,Seattle SuperSonics,82,241.5,37.5,82.7,.453,5.7,16.5,.349,31.8,66.2,.480,16.5,22.2,.742,12.8,29.6,42.4,23.9,7.9,6.2,15.0,22.1,97.3
26,Toronto Raptors*,82,243.4,36.7,82.0,.447,4.6,12.7,.363,32.1,69.3,.463,17.4,23.0,.754,11.3,30.6,41.9,20.7,6.8,5.4,14.1,21.9,95.4
27,Utah Jazz*,82,241.2,32.5,74.1,.439,5.0,14.6,.343,27.5,59.5,.462,22.3,29.2,.765,10.7,26.6,37.3,19.1,8.5,5.5,16.1,24.5,92.4
28,Vancouver Grizzlies,82,241.2,38.3,82.8,.463,4.7,13.1,.362,33.6,69.7,.482,16.1,21.9,.732,12.8,30.9,43.7,23.6,8.7,5.8,14.8,21.6,97.5
29,Washington Wizards,82,240.0,37.8,80.4,.470,5.3,13.3,.396,32.5,67.1,.485,19.0,25.5,.747,11.4,29.4,40.7,23.2,8.4,6.2,15.0,24.1,99.9
,League Average,82,242.0,35.7,80.6,.443,4.8,13.7,.354,30.8,66.9,.461,18.6,24.9,.748,12.0,30.5,42.5,21.8,7.8,5.3,15.0,22.3,94.8
