Rk,Team▲,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
4.0,Charlotte Hornets,82,241.8,41.9,89.2,0.47,12.1,33.5,0.361,29.8,55.6,0.536,15.9,20.2,0.787,10.1,35.7,45.8,26.0,6.9,6.0,13.5,20.6,111.8
5.0,Chicago Bulls,82,242.7,42.2,89.2,0.473,12.1,33.0,0.365,30.2,56.2,0.537,16.8,22.0,0.763,10.0,36.4,46.4,25.5,7.3,5.8,13.3,18.7,113.4
6.0,Cleveland Cavaliers,82,240.9,43.2,87.2,0.495,12.0,31.6,0.38,31.2,55.6,0.561,15.8,20.5,0.77,9.5,34.6,44.1,25.7,6.9,5.6,12.5,19.4,114.1
7.0,Dallas Mavericks,82,241.2,40.9,89.2,0.459,11.2,32.5,0.344,29.7,56.7,0.525,17.1,22.0,0.777,10.2,34.6,44.8,24.5,7.8,4.5,13.0,23.2,110.1
8.0,Denver Nuggets*,82,240.6,39.6,86.4,0.458,10.8,31.9,0.339,28.8,54.5,0.528,16.7,22.2,0.753,9.7,32.7,42.5,24.6,7.4,5.0,13.5,20.4,106.7
9.0,Detroit Pistons*,82,242.1,39.9,85.0,0.469,9.6,27.8,0.345,30.3,57.2,0.53,17.9,23.7,0.755,9.1,34.6,43.7,23.7,6.9,5.1,14.1,21.3,107.3
10.0,Golden State Warriors*,82,241.5,40.4,91.1,0.444,11.6,33.6,0.347,28.8,57.5,0.5,18.7,24.2,0.773,10.8,33.5,44.3,24.3,7.7,3.6,13.5,19.5,111.2
11.0,Houston Rockets*,82,241.8,40.4,86.7,0.466,10.1,29.8,0.34,30.3,56.9,0.532,18.2,23.7,0.768,11.0,34.5,45.4,23.5,7.4,4.5,15.0,20.0,109.1
12.0,Indiana Pacers*,82,240.3,38.7,86.1,0.45,11.4,32.1,0.354,27.4,54.0,0.507,15.8,21.0,0.756,10.5,33.1,43.7,24.5,7.4,5.2,15.7,20.0,104.7
13.0,Los Angeles Clippers*,82,241.8,41.7,91.3,0.457,10.4,30.2,0.343,31.4,61.1,0.513,20.5,26.3,0.777,11.3,34.5,45.7,24.1,8.3,6.1,13.2,24.0,114.3
14.0,Los Angeles Lakers,82,241.2,41.9,92.8,0.452,11.8,34.0,0.349,30.1,58.9,0.511,17.8,22.7,0.784,11.3,35.6,46.9,25.0,8.3,5.1,14.2,20.8,113.5
15.0,Memphis Grizzlies,82,242.4,37.6,83.4,0.451,11.6,32.2,0.36,26.0,51.2,0.508,19.3,24.7,0.784,9.5,35.2,44.7,23.4,7.6,4.9,15.2,21.4,106.1
