Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Shareef Abdur-Rahim,PF,27,TOT,85,56,2684,501,1054,0.475,9,34,0.265,492,1020,0.482,0.48,373,429,0.869,189,450,639,174,68,37,184,222,1384,abdursh01
1,Shareef Abdur-Rahim,PF,27,ATL,53,53,1956,383,790,0.485,5,23,0.217,378,767,0.493,0.488,294,334,0.88,141,354,495,127,44,19,131,147,1065,abdursh01
1,Shareef Abdur-Rahim,PF,27,POR,32,3,728,118,264,0.447,4,11,0.364,114,253,0.451,0.455,79,95,0.832,48,96,144,47,24,18,53,75,319,abdursh01
2,Malik Allen,PF,25,MIA,45,6,616,83,198,0.419,0,0,,83,198,0.419,0.419,25,33,0.758,42,77,119,16,12,28,27,81,191,allenma01
3,Ray Allen*,SG,28,SEA,56,56,2152,447,1017,0.44,148,378,0.392,299,639,0.468,0.512,245,271,0.904,69,217,286,268,71,11,156,132,1287,allenra02
4,Rafer Alston,PG,27,MIA,82,28,2581,287,764,0.376,161,434,0.371,126,330,0.382,0.481,103,134,0.769,26,200,226,372,114,18,128,212,838,alstora01
5,Chris Andersen,PF,25,DEN,71,0,1029,90,203,0.443,0,1,0,90,202,0.446,0.443,63,107,0.589,89,209,298,35,34,114,48,119,243,anderch01
6,Derek Anderson,SG,29,POR,51,46,1810,230,612,0.376,79,259,0.305,151,353,0.428,0.44,155,188,0.824,26,156,182,228,66,3,90,79,694,anderde01
7,Kenny Anderson,PG,33,IND,44,31,905,113,256,0.441,1,4,0.25,112,252,0.444,0.443,35,48,0.729,19,62,81,125,26,5,50,73,262,anderke01
8,Shandon Anderson,SG,30,NYK,80,37,1974,238,564,0.422,36,128,0.281,202,436,0.463,0.454,123,161,0.764,53,169,222,122,68,17,118,182,635,andersh01
9,Carmelo Anthony,SF,19,DEN,82,82,2995,624,1465,0.426,69,214,0.322,555,1251,0.444,0.449,408,525,0.777,183,315,498,227,97,41,247,225,1725,anthoca01
10,Robert Archibald,C-PF,23,TOT,32,3,256,9,33,0.273,0,0,,9,33,0.273,0.273,14,31,0.452,21,31,52,13,14,3,10,50,32,archiro01
10,Robert Archibald,PF,23,PHO,1,0,6,0,1,0,0,0,,0,1,0,0,1,2,0.5,0,1,1,1,0,0,1,1,1,archiro01
