Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Shareef Abdur-Rahim,PF,28,POR,54,49,34.6,6.2,12.4,0.503,0.3,0.7,0.385,6,11.7,0.51,0.514,4.1,4.7,0.866,2.3,5,7.3,2.1,0.9,0.5,2.2,2.8,16.8,abdursh01
2,Cory Alexander,SG,31,CHA,16,1,12.6,1,3.1,0.327,0.5,1.2,0.421,0.5,1.9,0.267,0.408,0.6,0.8,0.75,0.5,1.3,1.8,2.3,0.6,0.1,1.2,1.8,3.1,alexaco01
3,Malik Allen,PF,26,TOT,36,1,14.4,2.3,4.9,0.475,0,0,,2.3,4.9,0.475,0.475,0.7,0.8,0.929,1.1,1.6,2.8,0.5,0.3,0.6,0.5,1.5,5.4,allenma01
3,Malik Allen,PF,26,MIA,14,0,17.7,2.5,5.4,0.461,0,0,,2.5,5.4,0.461,0.461,0.9,1,0.929,1.7,2,3.7,0.8,0.3,0.8,0.8,2.1,5.9,allenma01
3,Malik Allen,PF,26,CHA,22,1,12.3,2.2,4.6,0.485,0,0,,2.2,4.6,0.485,0.485,0.6,0.6,0.929,0.7,1.4,2.1,0.3,0.2,0.5,0.3,1.1,5,allenma01
4,Ray Allen*,SG,29,SEA,78,78,39.3,8.2,19.2,0.428,2.7,7.1,0.376,5.5,12,0.459,0.498,4.8,5.5,0.883,1,3.4,4.4,3.7,1.1,0.1,2.2,2.1,23.9,allenra02
5,Tony Allen,SG,23,BOS,77,34,16.4,2.4,5,0.475,0.2,0.4,0.387,2.2,4.6,0.483,0.491,1.5,2,0.737,1.1,1.8,2.9,0.8,1,0.3,1,2,6.4,allento01
6,Rafer Alston,PG,28,TOR,80,78,34,5,12.2,0.414,1.7,4.9,0.357,3.3,7.3,0.451,0.485,2.4,3.2,0.74,0.5,3,3.5,6.4,1.5,0.1,2.1,2.7,14.2,alstora01
7,Chris Andersen,C,26,NOH,67,2,21.3,2.9,5.3,0.534,0,0,0,2.9,5.3,0.538,0.534,2,2.8,0.689,2,4.1,6.1,1.1,0.2,1.5,1,2.1,7.7,anderch01
8,Derek Anderson,SG,30,POR,47,32,26.4,3.2,8.3,0.389,1.2,3.2,0.384,2,5.1,0.392,0.463,1.5,1.9,0.805,0.5,2.2,2.7,3,0.8,0.1,1.5,1.9,9.2,anderde01
9,Kenny Anderson,PG,34,TOT,43,20,17.3,2,4.7,0.423,0.1,0.3,0.462,1.8,4.4,0.42,0.438,0.6,0.9,0.73,0.6,1.5,2,2.4,0.8,0,1.1,2,4.7,anderke01
9,Kenny Anderson,PG,34,ATL,39,20,18.4,2.1,4.9,0.426,0.2,0.3,0.462,1.9,4.5,0.424,0.442,0.7,0.9,0.73,0.6,1.5,2.1,2.5,0.8,0,1.2,2.1,5,anderke01
9,Kenny Anderson,PG,34,LAC,4,0,6.5,1,2.8,0.364,0,0,,1,2.8,0.364,0.364,0,0,,0.3,1,1.3,1.3,0,0,0.8,1.5,2,anderke01
10,Shandon Anderson,SF-SG,31,TOT,66,5,17.7,1.5,3.3,0.452,0.1,0.4,0.172,1.4,2.8,0.495,0.463,0.8,1,0.818,0.6,2.3,2.9,1.1,0.6,0.2,0.8,2.1,3.9,andersh01
10,Shandon Anderson,SG,31,NYK,1,0,20,0,2,0,0,1,0,0,1,0,0,0,0,,1,0,1,0,0,0,1,2,0,andersh01
10,Shandon Anderson,SF,31,MIA,65,5,17.7,1.5,3.3,0.456,0.1,0.4,0.179,1.4,2.9,0.497,0.467,0.8,1,0.818,0.6,2.3,2.9,1.1,0.6,0.2,0.8,2.1,3.9,andersh01
11,Carmelo Anthony,SF,20,DEN,75,75,34.8,7.1,16.4,0.431,0.6,2.1,0.266,6.5,14.3,0.455,0.448,6.1,7.6,0.796,1.9,3.8,5.7,2.6,0.9,0.4,3,3.1,20.8,anthoca01
12,Rafael Araújo,C,24,TOR,59,41,12.5,1.3,3,0.434,0,0.1,0.333,1.3,2.9,0.436,0.437,0.7,0.9,0.782,1,2.1,3.1,0.3,0.4,0.1,0.9,2.7,3.3,araujra01
13,Gilbert Arenas,PG,23,WAS,80,80,40.9,8.2,19,0.431,2.6,7,0.365,5.6,12,0.469,0.498,6.5,8,0.814,1,3.7,4.7,5.1,1.7,0.3,3,3.1,25.5,arenagi01
14,Trevor Ariza,SF,19,NYK,80,12,17.3,2.2,4.9,0.442,0,0.2,0.231,2.1,4.7,0.449,0.446,1.5,2.2,0.695,1.1,1.9,3,1.1,0.9,0.2,0.9,1.9,5.9,arizatr01
15,Darrell Armstrong,PG,36,TOT,66,16,15,1.3,4.2,0.321,0.4,1.7,0.252,0.9,2.5,0.367,0.372,0.9,1,0.853,0.5,1.2,1.7,2.7,0.7,0.1,1,1.4,4,armstda01
15,Darrell Armstrong,PG,36,NOH,14,9,29.4,3.8,11.4,0.333,1.2,5,0.243,2.6,6.4,0.404,0.387,1.4,1.5,0.905,1.1,2.3,3.4,4.6,1.1,0.1,2,2.1,10.1,armstda01
15,Darrell Armstrong,PG,36,DAL,52,7,11.1,0.7,2.3,0.305,0.2,0.8,0.268,0.5,1.5,0.325,0.352,0.8,0.9,0.83,0.4,0.9,1.3,2.2,0.6,0.1,0.8,1.2,2.3,armstda01
16,Carlos Arroyo,PG,25,TOT,70,16,20.7,2.4,6.1,0.389,0.1,0.4,0.267,2.3,5.7,0.398,0.399,1.7,2.1,0.799,0.4,1.1,1.5,4,0.6,0.1,1.5,2,6.6,arroyca01
16,Carlos Arroyo,PG,25,UTA,30,16,24.7,3.1,7.7,0.401,0.2,0.6,0.389,2.9,7.1,0.402,0.416,1.8,2.1,0.841,0.4,1.2,1.5,5.1,0.7,0.1,1.8,2.2,8.2,arroyca01
16,Carlos Arroyo,PG,25,DET,40,0,17.7,1.9,4.9,0.376,0,0.3,0.083,1.8,4.6,0.395,0.378,1.7,2.2,0.767,0.4,1.1,1.5,3.2,0.6,0,1.3,1.9,5.4,arroyca01
17,Chucky Atkins,PG,30,LAL,82,82,35.4,4.7,11.1,0.426,2.1,5.5,0.387,2.6,5.5,0.466,0.523,2,2.5,0.803,0.4,2,2.4,4.4,0.9,0,1.8,2.2,13.6,atkinch01
18,Stacey Augmon,SF,36,ORL,55,7,12.1,1.2,3,0.407,0,0,,1.2,3,0.407,0.407,1,1.4,0.74,0.8,1,1.8,0.7,0.4,0.1,0.6,1.5,3.5,augmost01
19,Maurice Baker,PG,25,TOT,5,0,3.8,0,0.2,0,0,0,,0,0.2,0,0,0,0,,0.2,0.2,0.4,0.2,0.2,0,0.2,0.6,0,bakerma01
19,Maurice Baker,PG,25,LAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,bakerma01
19,Maurice Baker,PG,25,POR,4,0,4.5,0,0.3,0,0,0,,0,0.3,0,0,0,0,,0.3,0.3,0.5,0.3,0.3,0,0.3,0.8,0,bakerma01
20,Vin Baker,PF-C,33,TOT,27,0,7.6,0.5,1.6,0.31,0,0,0,0.5,1.5,0.317,0.31,0.3,0.6,0.529,0.6,0.8,1.4,0.4,0.1,0.1,0.6,1.4,1.3,bakervi01
20,Vin Baker,PF,33,NYK,24,0,8,0.5,1.6,0.342,0,0,0,0.5,1.5,0.351,0.342,0.3,0.6,0.467,0.7,0.8,1.5,0.4,0.1,0.2,0.6,1.3,1.4,bakervi01
20,Vin Baker,C,33,HOU,3,0,4.3,0,1.3,0,0,0,,0,1.3,0,0,0.7,0.7,1,0,0.7,0.7,0.3,0,0,0.7,2.3,0.7,bakervi01
21,Marcus Banks,PG,23,BOS,81,2,14.1,1.4,3.5,0.402,0.3,0.7,0.356,1.2,2.8,0.414,0.439,1.5,2,0.742,0.4,1.2,1.6,1.9,0.8,0.2,1,1.8,4.6,banksma01
22,Leandro Barbosa,PG,22,PHO,63,6,17.3,2.7,5.6,0.475,0.8,2.2,0.367,1.9,3.4,0.544,0.547,0.9,1.1,0.797,0.5,1.6,2.1,2,0.5,0.1,1.4,2,7,barbole01
23,Matt Barnes,SF,24,SAC,43,9,16.6,1.4,3.5,0.411,0.1,0.5,0.227,1.3,3,0.442,0.427,0.8,1.3,0.603,1.1,2,3.1,1.3,0.7,0.2,1,1.9,3.8,barnema02
24,Andre Barrett,PG,22,TOT,38,1,12.7,1.2,3.3,0.363,0.4,1.4,0.269,0.8,1.9,0.431,0.419,0.4,0.5,0.737,0.3,0.8,1.1,1.8,0.5,0,0.7,1.3,3.1,barrean01
24,Andre Barrett,PG,22,HOU,27,0,11.6,0.7,2.6,0.29,0.3,1.4,0.243,0.4,1.2,0.344,0.355,0.3,0.4,0.7,0.2,0.5,0.7,1.6,0.5,0,0.6,1.3,2.1,barrean01
24,Andre Barrett,PG,22,ORL,11,1,15.4,2.3,5,0.455,0.5,1.4,0.333,1.8,3.6,0.5,0.5,0.6,0.8,0.778,0.5,1.4,1.9,2.5,0.5,0.1,1,1.5,5.6,barrean01
25,Brent Barry,SG,33,SAS,81,8,21.5,2.4,5.7,0.423,1.2,3.5,0.357,1.2,2.2,0.525,0.532,1.4,1.7,0.837,0.4,2,2.3,2.2,0.5,0.2,0.8,1.5,7.4,barrybr01
26,Jon Barry,SG,35,TOT,69,2,21.8,2.3,5.3,0.438,1,2.4,0.43,1.3,2.9,0.443,0.534,0.9,1,0.873,0.4,1.9,2.3,2.4,0.9,0.1,1,1.4,6.6,barryjo01
26,Jon Barry,SG,35,ATL,16,0,17.2,1.9,4.8,0.403,0.7,2,0.344,1.3,2.8,0.444,0.474,0.6,0.8,0.769,0.3,1.1,1.3,1.8,0.9,0.1,0.9,1.8,5.2,barryjo01
26,Jon Barry,SG,35,HOU,53,2,23.2,2.5,5.5,0.447,1.1,2.5,0.451,1.3,3,0.443,0.55,1,1.1,0.897,0.4,2.2,2.6,2.6,0.9,0.1,1,1.3,7,barryjo01
27,Tony Battie,C,28,ORL,81,32,23.4,2,4.4,0.46,0,0.1,0,2,4.3,0.468,0.46,0.8,1.2,0.723,1.3,4.2,5.6,0.5,0.4,1,1,3,4.9,battito01
28,Shane Battier,SG,26,MEM,80,72,31.5,3.4,7.7,0.442,0.9,2.2,0.395,2.5,5.5,0.461,0.499,2.3,2.9,0.789,2,3.2,5.2,1.6,1.1,1,0.9,2.5,9.9,battish01
29,Lonny Baxter,PF,26,NOH,4,0,9,0.8,2.8,0.273,0,0,,0.8,2.8,0.273,0.273,0,0.5,0,1,1,2,0,0,0,1,2.5,1.5,baxtelo01
30,Raja Bell,SG,28,UTA,63,32,28.4,4.8,10.6,0.454,0.9,2.1,0.403,4,8.5,0.467,0.495,1.8,2.4,0.747,0.8,2.4,3.2,1.4,0.7,0.1,1.3,3.3,12.3,bellra01
31,Jonathan Bender,SF,24,IND,7,0,13.3,2.3,5.7,0.4,0.1,0.7,0.2,2.1,5,0.429,0.413,0.4,0.9,0.5,0.7,1.3,2,0.6,0.1,0.3,1.4,1.3,5.1,bendejo01
32,Travis Best,PG,32,NJN,76,6,19.2,2.5,5.9,0.42,0.3,1.1,0.306,2.2,4.8,0.447,0.449,1.4,1.6,0.885,0.3,1.2,1.4,1.9,0.9,0.1,0.9,1.9,6.8,besttr01
33,Mike Bibby,PG,26,SAC,80,80,38.6,7,15.8,0.443,1.6,4.6,0.36,5.4,11.3,0.477,0.495,4,5.2,0.775,1,3.2,4.2,6.8,1.6,0.4,2.5,2.4,19.6,bibbymi01
34,Andris Biedriņš,C,18,GSW,30,1,12.8,1.5,2.6,0.577,0,0,0,1.5,2.6,0.584,0.577,0.6,1.3,0.475,1.6,2.4,3.9,0.4,0.4,0.8,0.4,2.9,3.6,biedran01
35,Chauncey Billups,PG,28,DET,80,80,35.8,5.1,11.4,0.442,2.1,4.8,0.426,3,6.6,0.454,0.533,4.3,4.8,0.898,0.6,2.8,3.4,5.8,1,0.1,2.3,2.4,16.5,billuch01
36,Steve Blake,PG,24,WAS,44,1,14.7,1.4,4.2,0.328,0.8,2.1,0.387,0.6,2.1,0.269,0.425,0.8,0.9,0.805,0.4,1.2,1.6,1.6,0.3,0,0.9,1.1,4.3,blakest01
37,Mark Blount,C,29,BOS,82,57,26,4,7.5,0.529,0,0,0,4,7.5,0.53,0.529,1.4,2,0.713,1.7,3.1,4.8,1.6,0.4,0.8,1.9,2.8,9.4,blounma01
38,Tony Bobbitt,SG,25,LAL,2,0,6,1,2.5,0.4,0.5,1,0.5,0.5,1.5,0.333,0.5,0,0,,0,1.5,1.5,0,0,0,0,0.5,2.5,bobbito01
39,Keith Bogans,SG,24,CHA,74,42,24.2,3.5,9.3,0.381,0.8,2.3,0.329,2.8,7,0.398,0.422,1.8,2.5,0.727,1,2,3.1,1.8,0.9,0.1,1.6,2.3,9.6,boganke01
40,Matt Bonner,C,24,TOR,82,0,18.9,3,5.6,0.533,0.5,1.1,0.424,2.5,4.5,0.561,0.576,0.7,0.9,0.789,1.3,2.2,3.5,0.6,0.5,0.2,0.5,2.7,7.2,bonnema01
41,Calvin Booth,C,28,TOT,51,1,8.8,1,2.1,0.454,0,0,0,1,2.1,0.458,0.454,0.5,0.6,0.813,0.6,1.5,2.1,0.2,0.3,0.5,0.3,1.5,2.4,boothca01
41,Calvin Booth,C,28,DAL,34,1,7.7,1,2.3,0.43,0,0,0,1,2.3,0.436,0.43,0.4,0.5,0.875,0.5,1.2,1.7,0.1,0.3,0.5,0.2,1.6,2.4,boothca01
41,Calvin Booth,C,28,MIL,17,0,11.1,0.9,1.7,0.517,0,0,,0.9,1.7,0.517,0.517,0.7,0.9,0.75,0.8,2.1,2.9,0.2,0.2,0.7,0.5,1.4,2.5,boothca01
42,Carlos Boozer,PF,23,UTA,51,51,34.7,7.1,13.6,0.521,0,0,0,7.1,13.6,0.522,0.521,3.7,5.3,0.698,2.8,6.2,9,2.8,0.8,0.5,2.7,3.5,17.8,boozeca01
43,Curtis Borchardt,C,24,UTA,67,23,12.8,1.1,2.6,0.43,0,0,,1.1,2.6,0.43,0.43,0.8,1.1,0.732,1.3,2.1,3.3,0.7,0.1,0.5,0.8,2.4,3,borchcu01
44,Chris Bosh*,PF,20,TOR,81,81,37.2,5.8,12.4,0.471,0,0.1,0.3,5.8,12.3,0.472,0.472,5.1,6.7,0.76,2.4,6.5,8.9,1.9,0.9,1.4,2.3,2.8,16.8,boshch01
45,Bruce Bowen,SF,33,SAS,82,82,32,3.1,7.3,0.42,1.2,3.1,0.403,1.8,4.2,0.432,0.505,0.9,1.4,0.634,0.6,2.9,3.5,1.5,0.7,0.5,0.7,2.1,8.2,bowenbr01
