Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Shareef Abdur-Rahim,PF,31,SAC,6,0,51,3,14,0.214,0,0,,3,14,0.214,0.214,4,4,1,6,4,10,4,1,0,1,9,10,abdursh01
2,Arron Afflalo,SG,22,DET,75,9,970,99,241,0.411,10,48,0.208,89,193,0.461,0.432,68,87,0.782,36,101,137,52,31,8,34,83,276,afflaar01
3,Maurice Ager,SG,23,TOT,26,3,165,21,65,0.323,3,19,0.158,18,46,0.391,0.346,6,12,0.5,4,9,13,8,0,1,6,17,51,agerma01
3,Maurice Ager,SG,23,DAL,12,3,77,5,27,0.185,0,8,0,5,19,0.263,0.185,5,6,0.833,1,3,4,4,0,1,3,11,15,agerma01
3,Maurice Ager,SG,23,NJN,14,0,88,16,38,0.421,3,11,0.273,13,27,0.481,0.461,1,6,0.167,3,6,9,4,0,0,3,6,36,agerma01
4,Blake Ahearn,PG,23,MIA,12,0,177,15,57,0.263,10,34,0.294,5,23,0.217,0.351,30,31,0.968,1,18,19,19,6,0,16,20,70,ahearbl01
5,LaMarcus Aldridge,PF,22,POR,76,76,2649,561,1160,0.484,1,7,0.143,560,1153,0.486,0.484,227,298,0.762,220,358,578,122,55,94,126,240,1350,aldrila01
6,Malik Allen,PF,29,TOT,73,16,1096,157,327,0.48,1,2,0.5,156,325,0.48,0.482,23,25,0.92,66,130,196,44,19,31,45,149,338,allenma01
6,Malik Allen,PF,29,NJN,48,12,763,124,261,0.475,1,2,0.5,123,259,0.475,0.477,12,13,0.923,42,86,128,29,15,21,32,89,261,allenma01
6,Malik Allen,PF,29,DAL,25,4,333,33,66,0.5,0,0,,33,66,0.5,0.5,11,12,0.917,24,44,68,15,4,10,13,60,77,allenma01
7,Ray Allen*,SG,32,BOS,73,73,2624,439,986,0.445,180,452,0.398,259,534,0.485,0.537,215,237,0.907,75,193,268,225,65,16,127,147,1273,allenra02
8,Tony Allen,SG,26,BOS,75,11,1373,169,389,0.434,18,57,0.316,151,332,0.455,0.458,138,181,0.762,34,134,168,114,62,21,109,168,494,allento01
9,Lance Allred,C,26,CLE,3,0,10,1,4,0.25,0,0,,1,4,0.25,0.25,1,2,0.5,0,1,1,0,0,0,0,1,3,allrela01
10,Morris Almond,SG,22,UTA,9,0,39,4,15,0.267,1,4,0.25,3,11,0.273,0.3,4,6,0.667,0,2,2,3,1,0,2,5,13,almonmo01
11,Rafer Alston,PG,31,HOU,74,74,2526,364,924,0.394,143,407,0.351,221,517,0.427,0.471,98,137,0.715,28,232,260,392,98,18,160,139,969,alstora01
12,Lou Amundson,PF,25,PHI,16,0,64,8,16,0.5,0,0,,8,16,0.5,0.5,2,7,0.286,7,5,12,0,1,1,2,13,18,amundlo01
13,Chris Andersen,C,29,NOH,5,0,34,2,7,0.286,0,0,,2,7,0.286,0.286,2,4,0.5,2,7,9,0,0,4,1,6,6,anderch01
14,Derek Anderson,SG,33,CHA,28,0,396,47,125,0.376,19,52,0.365,28,73,0.384,0.452,28,38,0.737,9,43,52,44,12,1,25,49,141,anderde01
15,Carmelo Anthony,SF,23,DEN,77,77,2806,728,1481,0.492,58,164,0.354,670,1317,0.509,0.511,464,590,0.786,178,393,571,259,98,39,253,253,1978,anthoca01
16,Joel Anthony,PF,25,MIA,24,1,498,28,60,0.467,0,0,,28,60,0.467,0.467,29,49,0.592,38,55,93,3,9,31,17,55,85,anthojo01
17,Gilbert Arenas,PG,26,WAS,13,8,425,78,196,0.398,22,78,0.282,56,118,0.475,0.454,74,96,0.771,6,45,51,66,23,1,49,30,252,arenagi01
18,Trevor Ariza,SF,22,TOT,35,3,546,69,136,0.507,5,18,0.278,64,118,0.542,0.526,49,75,0.653,30,78,108,44,31,11,23,45,192,arizatr01
18,Trevor Ariza,SF,22,ORL,11,0,115,14,31,0.452,0,3,0,14,28,0.5,0.452,8,15,0.533,5,19,24,8,5,3,5,9,36,arizatr01
18,Trevor Ariza,SF,22,LAL,24,3,431,55,105,0.524,5,15,0.333,50,90,0.556,0.548,41,60,0.683,25,59,84,36,26,8,18,36,156,arizatr01
19,Darrell Armstrong,PG,39,NJN,50,2,549,40,110,0.364,23,69,0.333,17,41,0.415,0.468,20,30,0.667,17,50,67,73,28,2,41,53,123,armstda01
20,Hilton Armstrong,C,23,NOH,65,3,732,67,148,0.453,0,0,,67,148,0.453,0.453,44,70,0.629,65,98,163,23,15,34,59,130,178,armsthi01
21,Carlos Arroyo,PG,28,ORL,62,20,1269,157,348,0.451,29,84,0.345,128,264,0.485,0.493,87,102,0.853,10,103,113,219,26,2,77,85,430,arroyca01
22,Chucky Atkins,SG,33,DEN,24,0,352,42,122,0.344,25,79,0.316,17,43,0.395,0.447,4,9,0.444,3,28,31,47,9,1,10,27,113,atkinch01
23,James Augustine,PF,23,ORL,25,0,149,18,34,0.529,0,0,,18,34,0.529,0.529,4,8,0.5,16,14,30,2,5,2,6,18,40,augusja01
24,Kelenna Azubuike,SG,24,GSW,81,17,1732,261,587,0.445,71,195,0.364,190,392,0.485,0.505,99,138,0.717,107,217,324,75,45,34,58,159,692,azubuke01
25,Renaldo Balkman,SF,23,NYK,65,0,952,91,186,0.489,1,12,0.083,90,174,0.517,0.492,41,95,0.432,83,133,216,40,44,30,37,132,224,balkmre01
26,Marcus Banks,PG,26,TOT,36,3,569,86,191,0.45,40,102,0.392,46,89,0.517,0.555,27,35,0.771,4,41,45,61,14,13,37,65,239,banksma01
26,Marcus Banks,PG,26,PHO,24,1,310,44,109,0.404,25,65,0.385,19,44,0.432,0.518,12,16,0.75,3,17,20,25,8,8,16,38,125,banksma01
26,Marcus Banks,PG,26,MIA,12,2,259,42,82,0.512,15,37,0.405,27,45,0.6,0.604,15,19,0.789,1,24,25,36,6,5,21,27,114,banksma01
27,Leandro Barbosa,SG,25,PHO,82,12,2421,472,1021,0.462,164,422,0.389,308,599,0.514,0.543,175,213,0.822,40,191,231,216,75,18,117,195,1283,barbole01
28,J.J. Barea,PG,23,DAL,44,9,460,71,170,0.418,21,54,0.389,50,116,0.431,0.479,28,35,0.8,4,43,47,58,14,1,35,48,191,bareajo01
29,Andrea Bargnani,PF,22,TOR,78,53,1861,280,725,0.386,90,261,0.345,190,464,0.409,0.448,142,169,0.84,50,238,288,89,23,37,88,211,792,bargnan01
30,Matt Barnes,PF,27,GSW,73,18,1414,187,442,0.423,53,181,0.293,134,261,0.513,0.483,59,79,0.747,94,230,324,139,48,36,85,159,486,barnema02
31,Andre Barrett,PG,25,LAC,4,0,25,2,5,0.4,1,3,0.333,1,2,0.5,0.5,1,2,0.5,0,1,1,7,0,0,1,1,6,barrean01
32,Earl Barron,C,26,MIA,46,15,889,132,327,0.404,1,13,0.077,131,314,0.417,0.405,61,87,0.701,67,131,198,29,19,8,48,114,326,barroea01
33,Brent Barry,SF,36,SAS,31,1,554,77,160,0.481,48,112,0.429,29,48,0.604,0.631,19,20,0.95,12,43,55,54,17,3,18,43,221,barrybr01
34,Brandon Bass,C,22,DAL,79,1,1557,246,493,0.499,0,4,0,246,489,0.503,0.499,162,197,0.822,120,227,347,58,22,48,82,150,654,bassbr01
35,Maceo Baston,PF,32,TOR,15,2,103,17,25,0.68,0,0,,17,25,0.68,0.68,7,10,0.7,9,17,26,3,2,4,4,20,41,bastoma01
36,Shane Battier,SF,29,HOU,80,78,2907,265,619,0.428,139,369,0.377,126,250,0.504,0.54,75,101,0.743,131,276,407,155,77,90,78,196,744,battish01
37,Marco Belinelli,SG,21,GSW,33,0,241,36,93,0.387,16,41,0.39,20,52,0.385,0.473,7,9,0.778,3,11,14,15,5,0,12,15,95,belinma01
38,Charlie Bell,SG,28,MIL,68,5,1628,185,486,0.381,74,217,0.341,111,269,0.413,0.457,70,87,0.805,31,136,167,210,52,2,76,121,514,bellch01
39,Raja Bell,SG,31,PHO,75,75,2646,317,753,0.421,176,439,0.401,141,314,0.449,0.538,79,91,0.868,47,227,274,168,54,27,65,220,889,bellra01
40,Mike Bibby,PG,29,TOT,48,44,1573,248,603,0.411,93,248,0.375,155,355,0.437,0.488,78,100,0.78,16,144,160,290,54,4,119,97,667,bibbymi01
40,Mike Bibby,PG,29,SAC,15,12,473,78,192,0.406,24,61,0.393,54,131,0.412,0.469,23,31,0.742,11,45,56,75,19,2,38,34,203,bibbymi01
40,Mike Bibby,PG,29,ATL,33,32,1100,170,411,0.414,69,187,0.369,101,224,0.451,0.498,55,69,0.797,5,99,104,215,35,2,81,63,464,bibbymi01
41,Andris Biedriņš,C,21,GSW,76,59,2078,340,543,0.626,0,0,,340,543,0.626,0.626,116,187,0.62,256,488,744,75,56,94,85,262,796,biedran01
42,Chauncey Billups,PG,31,DET,78,78,2522,393,877,0.448,137,342,0.401,256,535,0.479,0.526,401,437,0.918,42,170,212,529,101,17,160,130,1324,billuch01
43,Steve Blake,PG,27,POR,81,78,2424,261,640,0.408,121,298,0.406,140,342,0.409,0.502,49,64,0.766,31,164,195,413,55,4,113,133,692,blakest01
44,Andray Blatche,PF,21,WAS,82,15,1675,254,536,0.474,3,13,0.231,251,523,0.48,0.477,107,154,0.695,164,261,425,92,53,114,112,258,618,blatcan01
45,Mark Blount,C,32,MIA,69,46,1542,238,515,0.462,17,44,0.386,221,471,0.469,0.479,88,138,0.638,69,194,263,41,33,34,70,133,581,blounma01
46,Keith Bogans,SG,27,ORL,82,35,2198,241,588,0.41,148,409,0.362,93,179,0.52,0.536,81,110,0.736,42,224,266,104,59,10,53,164,711,boganke01
47,Andrew Bogut,C,23,MIL,78,78,2720,465,910,0.511,0,7,0,465,903,0.515,0.511,189,322,0.587,245,518,763,199,64,135,172,254,1119,bogutan01
48,Matt Bonner,PF,27,SAS,68,3,853,121,291,0.416,46,137,0.336,75,154,0.487,0.495,38,44,0.864,53,139,192,32,14,17,39,111,326,bonnema01
49,Josh Boone,PF,23,NJN,70,53,1773,238,434,0.548,0,0,,238,434,0.548,0.548,99,217,0.456,192,317,509,55,36,61,68,155,575,boonejo01
50,Calvin Booth,C,31,PHI,31,0,204,9,27,0.333,0,0,,9,27,0.333,0.333,6,10,0.6,6,32,38,8,6,18,4,35,24,boothca01
51,Carlos Boozer,PF,26,UTA,81,81,2827,709,1297,0.547,0,1,0,709,1296,0.547,0.547,290,393,0.738,197,647,844,233,100,41,210,293,1708,boozeca01
52,Chris Bosh*,C,23,TOR,67,67,2425,507,1027,0.494,10,25,0.4,497,1002,0.496,0.499,472,559,0.844,174,409,583,171,63,67,153,157,1496,boshch01
53,Bruce Bowen,SF,36,SAS,81,81,2448,174,428,0.407,90,215,0.419,84,213,0.394,0.512,45,69,0.652,33,201,234,91,54,22,46,177,483,bowenbr01
54,Ryan Bowen,SF,32,NOH,53,4,660,49,100,0.49,0,1,0,49,99,0.495,0.49,16,29,0.552,55,45,100,25,32,11,15,77,114,bowenry01
55,Earl Boykins,PG,31,CHA,36,0,577,61,172,0.355,14,44,0.318,47,128,0.367,0.395,49,59,0.831,9,25,34,96,13,0,41,21,185,boykiea01
56,Elton Brand,PF,28,LAC,8,6,274,52,114,0.456,0,0,,52,114,0.456,0.456,37,47,0.787,21,43,64,16,3,15,17,21,141,brandel01
57,Corey Brewer,SF,21,MIN,79,35,1803,182,486,0.374,7,36,0.194,175,450,0.389,0.382,88,110,0.8,82,210,292,111,76,25,89,188,459,breweco01
58,Ronnie Brewer,SG,22,UTA,76,76,2088,354,634,0.558,11,50,0.22,343,584,0.587,0.567,195,257,0.759,97,121,218,134,129,19,69,110,914,brewero02
59,Primož Brezec,C,28,TOT,50,18,475,44,94,0.468,0,0,,44,94,0.468,0.468,24,40,0.6,30,51,81,11,3,7,24,83,112,brezepr01
59,Primož Brezec,C,28,CHA,20,18,267,17,43,0.395,0,0,,17,43,0.395,0.395,3,5,0.6,14,30,44,6,0,3,15,35,37,brezepr01
59,Primož Brezec,C,28,DET,17,0,98,10,13,0.769,0,0,,10,13,0.769,0.769,7,14,0.5,7,12,19,4,2,2,5,23,27,brezepr01
59,Primož Brezec,C,28,TOR,13,0,110,17,38,0.447,0,0,,17,38,0.447,0.447,14,21,0.667,9,9,18,1,1,2,4,25,48,brezepr01
60,Aaron Brooks,PG,23,HOU,51,0,608,93,225,0.413,36,109,0.33,57,116,0.491,0.493,42,49,0.857,13,43,56,87,13,5,44,69,264,brookaa01
61,Andre Brown,PF,26,MEM,33,1,286,39,78,0.5,0,0,,39,78,0.5,0.5,22,49,0.449,37,55,92,8,7,4,14,38,100,brownan01
62,Devin Brown,SG,29,CLE,78,20,1762,217,531,0.409,45,146,0.308,172,385,0.447,0.451,107,142,0.754,65,198,263,175,52,7,99,144,586,brownde02
63,Kwame Brown,C,25,TOT,38,15,713,72,142,0.507,0,0,,72,142,0.507,0.507,40,98,0.408,51,137,188,45,22,23,51,82,184,brownkw01
63,Kwame Brown,C,25,LAL,23,14,509,53,103,0.515,0,0,,53,103,0.515,0.515,26,64,0.406,31,100,131,28,16,19,37,58,132,brownkw01
63,Kwame Brown,C,25,MEM,15,1,204,19,39,0.487,0,0,,19,39,0.487,0.487,14,34,0.412,20,37,57,17,6,4,14,24,52,brownkw01
64,P.J. Brown,PF,38,BOS,18,0,209,14,41,0.341,0,1,0,14,40,0.35,0.341,11,16,0.688,29,39,68,10,5,8,10,29,39,brownpj01
65,Shannon Brown,SG,22,TOT,21,4,240,44,126,0.349,9,30,0.3,35,96,0.365,0.385,17,29,0.586,6,14,20,17,11,3,24,29,114,brownsh01
65,Shannon Brown,SG,22,CLE,15,4,218,41,111,0.369,9,29,0.31,32,82,0.39,0.41,14,23,0.609,5,13,18,17,10,1,19,27,105,brownsh01
65,Shannon Brown,SG,22,CHI,6,0,22,3,15,0.2,0,1,0,3,14,0.214,0.2,3,6,0.5,1,1,2,0,1,2,5,2,9,brownsh01
66,Kobe Bryant*,SG,29,LAL,82,82,3192,775,1690,0.459,150,415,0.361,625,1275,0.49,0.503,623,742,0.84,94,423,517,441,151,40,257,227,2323,bryanko01
67,Greg Buckner,SG,31,MIN,31,4,520,45,117,0.385,15,50,0.3,30,67,0.448,0.449,19,22,0.864,10,55,65,39,21,2,29,63,124,buckngr01
68,Caron Butler,SF,27,WAS,58,58,2314,439,943,0.466,66,185,0.357,373,758,0.492,0.501,236,262,0.901,93,295,388,284,128,20,150,160,1180,butleca01
69,Rasual Butler,SF,28,NOH,51,8,875,91,260,0.35,44,133,0.331,47,127,0.37,0.435,26,31,0.839,16,84,100,36,15,21,10,66,252,butlera01
70,Andrew Bynum,C,20,LAL,35,25,1008,189,297,0.636,0,0,,189,297,0.636,0.636,82,118,0.695,105,251,356,61,12,72,52,98,460,bynuman01
71,José Calderón,PG,26,TOR,82,56,2484,367,707,0.519,79,184,0.429,288,523,0.551,0.575,109,120,0.908,34,202,236,678,87,6,126,134,922,caldejo01
72,Marcus Camby,C,33,DEN,79,79,2758,286,635,0.45,6,20,0.3,280,615,0.455,0.455,143,202,0.708,230,807,1037,259,85,285,118,216,721,cambyma01
73,Brian Cardinal,PF,30,MEM,37,1,440,43,126,0.341,25,81,0.309,18,45,0.4,0.44,13,19,0.684,26,70,96,22,10,2,23,62,124,cardibr01
74,Rodney Carney,SF,23,PHI,70,6,1039,158,392,0.403,38,120,0.317,120,272,0.441,0.452,55,81,0.679,50,99,149,32,39,23,34,96,409,carnero01
75,Matt Carroll,SG,27,CHA,80,18,2016,252,589,0.428,105,241,0.436,147,348,0.422,0.517,111,138,0.804,33,193,226,73,46,19,58,187,720,carroma01
76,Anthony Carter,PG,32,DEN,70,67,1960,218,476,0.458,45,129,0.349,173,347,0.499,0.505,64,85,0.753,27,173,200,388,107,28,124,172,545,cartean01
77,Vince Carter,SG,31,NJN,76,72,2959,587,1287,0.456,98,273,0.359,489,1014,0.482,0.494,350,429,0.816,112,341,453,389,93,33,181,241,1622,cartevi01
78,Sam Cassell,PG,38,TOT,55,34,1274,233,532,0.438,23,76,0.303,210,456,0.461,0.46,127,144,0.882,17,119,136,214,37,6,97,98,616,cassesa01
78,Sam Cassell,PG,38,LAC,38,33,975,183,402,0.455,14,54,0.259,169,348,0.486,0.473,106,119,0.891,12,93,105,179,28,3,78,69,486,cassesa01
78,Sam Cassell,PG,38,BOS,17,1,299,50,130,0.385,9,22,0.409,41,108,0.38,0.419,21,25,0.84,5,26,31,35,9,3,19,29,130,cassesa01
79,Tyson Chandler,C,25,NOH,79,79,2783,377,605,0.623,0,1,0,377,604,0.624,0.623,175,295,0.593,322,606,928,81,45,84,136,243,929,chandty01
80,Wilson Chandler,SF,20,NYK,35,16,685,106,242,0.438,9,30,0.3,97,212,0.458,0.457,34,54,0.63,38,89,127,33,15,16,27,83,255,chandwi01
81,Josh Childress,SF,24,ATL,76,0,2274,327,573,0.571,22,60,0.367,305,513,0.595,0.59,222,275,0.807,174,199,373,117,71,43,98,129,898,childjo01
82,Jarron Collins,C,29,UTA,70,9,702,36,82,0.439,0,1,0,36,81,0.444,0.439,46,74,0.622,40,76,116,37,10,6,22,106,118,collija03
83,Jason Collins,C,29,TOT,74,26,1172,53,113,0.469,0,1,0,53,112,0.473,0.469,34,74,0.459,64,114,178,25,23,25,48,194,140,collija04
83,Jason Collins,C,29,NJN,43,23,684,23,54,0.426,0,0,,23,54,0.426,0.426,14,36,0.389,35,54,89,19,11,8,23,110,60,collija04
83,Jason Collins,C,29,MEM,31,3,488,30,59,0.508,0,1,0,30,58,0.517,0.508,20,38,0.526,29,60,89,6,12,17,25,84,80,collija04
84,Mardy Collins,SG,23,NYK,46,8,634,57,175,0.326,8,32,0.25,49,143,0.343,0.349,23,38,0.605,19,56,75,89,24,8,56,56,145,collima01
85,Nick Collison,PF,27,SEA,78,35,2223,322,641,0.502,0,2,0,322,639,0.504,0.502,123,167,0.737,254,476,730,113,47,60,118,250,767,collini01
86,Mike Conley,PG,20,MEM,53,46,1381,189,442,0.428,30,91,0.33,159,351,0.453,0.462,90,123,0.732,21,118,139,222,44,2,89,85,498,conlemi01
87,Brian Cook,PF,27,TOT,51,2,629,88,234,0.376,43,115,0.374,45,119,0.378,0.468,19,21,0.905,28,81,109,27,13,12,39,93,238,cookbr01
87,Brian Cook,PF,27,LAL,6,2,70,4,21,0.19,2,10,0.2,2,11,0.182,0.238,4,4,1,4,6,10,3,2,0,4,6,14,cookbr01
87,Brian Cook,PF,27,ORL,45,0,559,84,213,0.394,41,105,0.39,43,108,0.398,0.491,15,17,0.882,24,75,99,24,11,12,35,87,224,cookbr01
88,Daequan Cook,SG,20,MIA,59,19,1441,196,514,0.381,79,238,0.332,117,276,0.424,0.458,47,57,0.825,20,157,177,75,23,9,63,157,518,cookda02
89,Jamal Crawford,SG,27,NYK,80,80,3190,570,1391,0.41,176,494,0.356,394,897,0.439,0.473,329,381,0.864,37,170,207,398,81,17,192,144,1645,crawfja01
90,Javaris Crittenton,SG,20,TOT,50,0,679,98,233,0.421,10,37,0.27,88,196,0.449,0.442,72,104,0.692,27,83,110,51,19,2,55,47,278,crittja01
90,Javaris Crittenton,SG,20,LAL,22,0,171,26,53,0.491,1,3,0.333,25,50,0.5,0.5,19,28,0.679,7,14,21,18,7,0,22,12,72,crittja01
90,Javaris Crittenton,SG,20,MEM,28,0,508,72,180,0.4,9,34,0.265,63,146,0.432,0.425,53,76,0.697,20,69,89,33,12,2,33,35,206,crittja01
91,Austin Croshere,PF,32,GSW,44,0,457,61,137,0.445,22,61,0.361,39,76,0.513,0.526,29,32,0.906,33,71,104,30,8,6,22,60,173,croshau01
92,Eddy Curry,C,25,NYK,59,58,1530,297,544,0.546,0,0,,297,544,0.546,0.546,187,300,0.623,111,164,275,32,14,29,126,157,781,curryed01
93,Samuel Dalembert,C,26,PHI,82,82,2724,339,661,0.513,0,1,0,339,660,0.514,0.513,186,263,0.707,304,545,849,45,40,192,155,269,864,dalemsa01
94,Erick Dampier,C,32,DAL,72,64,1755,178,277,0.643,0,0,,178,277,0.643,0.643,84,146,0.575,207,332,539,63,24,106,80,226,440,dampier01
95,Antonio Daniels,PG,32,WAS,71,63,2161,205,447,0.459,17,74,0.23,188,373,0.504,0.478,170,219,0.776,23,180,203,340,69,2,91,78,597,daniean01
96,Marquis Daniels,SG,27,IND,74,1,1546,241,561,0.43,27,102,0.265,214,459,0.466,0.454,97,139,0.698,66,146,212,137,79,18,112,121,606,daniema01
97,Jermareo Davidson,SF,23,CHA,38,2,322,51,125,0.408,0,0,,51,125,0.408,0.408,18,28,0.643,21,41,62,13,7,15,17,46,120,davidje01
98,Baron Davis,PG,28,GSW,82,82,3196,650,1526,0.426,173,525,0.33,477,1001,0.477,0.483,318,424,0.75,96,289,385,623,191,43,232,247,1791,davisba01
99,Glen Davis,C,22,BOS,69,1,940,107,221,0.484,0,0,,107,221,0.484,0.484,99,150,0.66,95,113,208,28,31,20,65,160,313,davisgl01
100,Paul Davis,PF,23,LAC,22,1,194,24,65,0.369,0,0,,24,65,0.369,0.369,6,10,0.6,25,22,47,10,6,6,9,33,54,davispa01
101,Ricky Davis,SF,28,MIA,82,47,2963,420,971,0.433,135,333,0.405,285,638,0.447,0.502,155,197,0.787,55,298,353,276,87,14,191,187,1130,davisri01
102,Carlos Delfino,SG,25,TOR,82,0,1928,251,632,0.397,120,314,0.382,131,318,0.412,0.492,116,156,0.744,66,293,359,145,69,11,75,177,738,delfica01
103,Luol Deng,SF,22,CHI,63,59,2128,429,896,0.479,8,22,0.364,421,874,0.482,0.483,204,265,0.77,136,258,394,155,57,29,120,117,1070,denglu01
104,Boris Diaw,PF,25,PHO,82,19,2308,308,646,0.477,13,41,0.317,295,605,0.488,0.487,96,129,0.744,97,281,378,317,61,39,155,166,725,diawbo01
