Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Alex Acker,SG,26,TOT,25,0,8,1.2,3,0.395,0.3,0.8,0.35,0.9,2.2,0.411,0.441,0.2,0.4,0.5,0.3,0.6,1,0.5,0.2,0.2,0.3,0.4,2.9,ackeral01
1,Alex Acker,SG,26,DET,7,0,2.9,0.6,1.6,0.364,0,0.6,0,0.6,1,0.571,0.364,0.1,0.3,0.5,0,0.3,0.3,0.1,0.3,0.1,0,0,1.3,ackeral01
1,Alex Acker,SG,26,LAC,18,0,9.9,1.4,3.6,0.4,0.4,0.9,0.438,1.1,2.7,0.388,0.454,0.2,0.4,0.5,0.4,0.8,1.2,0.6,0.2,0.2,0.4,0.5,3.5,ackeral01
2,Hassan Adams,SG,24,TOR,12,0,4.3,0.3,1.1,0.308,0,0,,0.3,1.1,0.308,0.308,0.3,0.5,0.5,0.1,0.5,0.6,0.1,0.1,0.1,0.3,0.3,0.9,adamsha01
3,Arron Afflalo,SG,23,DET,74,8,16.7,1.8,4.1,0.437,0.6,1.4,0.402,1.2,2.6,0.456,0.508,0.8,1,0.817,0.4,1.4,1.8,0.6,0.4,0.2,0.6,1.9,4.9,afflaar01
4,Maurice Ager,SG,24,NJN,20,0,4.9,0.8,2.2,0.349,0,0.3,0,0.8,1.9,0.405,0.349,0.2,0.4,0.5,0.2,0.4,0.5,0.2,0.1,0.1,0.2,0.9,1.7,agerma01
5,Blake Ahearn,PG,24,SAS,3,0,6.3,0.7,2,0.333,0.7,1.3,0.5,0,0.7,0,0.5,0.7,0.7,1,0,0.3,0.3,0.7,0.3,0,0.3,1,2.7,ahearbl01
6,Alexis Ajinça,PF,20,CHA,31,4,5.9,0.8,2.2,0.362,0,0.1,0,0.8,2.2,0.373,0.362,0.6,0.9,0.714,0.3,0.7,1,0.1,0.2,0.2,0.4,1.1,2.3,ajincal01
7,LaMarcus Aldridge,PF,23,POR,81,81,37.1,7.4,15.3,0.484,0.1,0.3,0.25,7.3,15,0.489,0.486,3.2,4.1,0.781,2.9,4.6,7.5,1.9,1,1,1.5,2.6,18.1,aldrila01
8,Joe Alexander,SF,22,MIL,59,0,12.1,1.7,4.2,0.416,0.3,0.8,0.348,1.5,3.4,0.432,0.449,1,1.4,0.699,0.7,1.2,1.9,0.7,0.3,0.5,0.9,1.8,4.7,alexajo01
9,Malik Allen,PF,30,MIL,49,3,11.8,1.5,3.5,0.429,0,0,0,1.5,3.4,0.432,0.429,0.2,0.4,0.476,0.7,1.4,2.1,0.7,0.1,0.2,0.4,1.8,3.2,allenma01
10,Ray Allen*,SG,33,BOS,79,79,36.4,6.3,13.2,0.48,2.5,6.2,0.409,3.8,7,0.542,0.575,3,3.2,0.952,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2,18.2,allenra02
11,Tony Allen,SG,27,BOS,46,2,19.3,3,6.2,0.482,0.1,0.6,0.222,2.8,5.6,0.51,0.493,1.7,2.4,0.725,0.5,1.8,2.3,1.4,1.2,0.5,1.7,2.1,7.8,allento01
12,Morris Almond,SG,23,UTA,25,1,10.2,1.3,3.2,0.407,0.2,0.7,0.294,1.1,2.6,0.438,0.438,0.8,1,0.808,0.4,1.1,1.4,0.3,0.2,0.2,0.6,1.2,3.7,almonmo01
13,Rafer Alston,PG,32,TOT,77,76,31.8,4.1,10.6,0.385,1.5,4.3,0.338,2.6,6.4,0.417,0.454,2,2.7,0.75,0.4,2.5,2.9,5.3,1.4,0.1,1.8,1.8,11.7,alstora01
13,Rafer Alston,PG,32,HOU,48,48,33.1,4,10.9,0.37,1.7,4.8,0.348,2.4,6.1,0.387,0.446,1.8,2.3,0.789,0.5,2.5,3,5.4,1.2,0.1,1.8,1.5,11.5,alstora01
13,Rafer Alston,PG,32,ORL,29,28,29.5,4.2,10.3,0.413,1.1,3.5,0.317,3.1,6.8,0.462,0.466,2.4,3.4,0.707,0.3,2.6,2.9,5.1,1.8,0.1,1.8,2.2,12,alstora01
14,Lou Amundson,PF,26,PHO,76,0,13.7,1.8,3.3,0.536,0,0,0,1.8,3.3,0.538,0.536,0.7,1.6,0.442,1.7,1.9,3.6,0.4,0.4,0.9,0.7,2,4.2,amundlo01
15,Chris Andersen,C,30,DEN,71,1,20.6,2.3,4.1,0.548,0,0.1,0.2,2.2,4,0.56,0.551,1.8,2.5,0.718,2.3,3.9,6.2,0.4,0.6,2.5,1,2.5,6.4,anderch01
16,Ryan Anderson,PF,20,NJN,66,30,19.9,2.4,6.2,0.393,1,2.9,0.365,1.4,3.3,0.417,0.478,1.5,1.8,0.845,1.6,3.1,4.7,0.8,0.7,0.3,1,2.4,7.4,anderry01
17,Carmelo Anthony,SF,24,DEN,66,66,34.5,8.1,18.3,0.443,1,2.6,0.371,7.2,15.7,0.455,0.469,5.6,7.1,0.793,1.6,5.2,6.8,3.4,1.1,0.4,3,3,22.8,anthoca01
18,Joel Anthony,C,26,MIA,65,28,16.1,0.9,1.8,0.483,0,0,,0.9,1.8,0.483,0.483,0.5,0.7,0.652,1.4,1.7,3,0.4,0.3,1.4,0.6,2.1,2.2,anthojo01
19,Gilbert Arenas,PG,27,WAS,2,2,31.5,3,11.5,0.261,1,3.5,0.286,2,8,0.25,0.304,6,8,0.75,0.5,4,4.5,10,0,0.5,0.5,2,13,arenagi01
20,Trevor Ariza,SF,23,LAL,82,20,24.4,3.3,7.3,0.46,0.7,2.3,0.319,2.6,4.9,0.526,0.511,1.5,2.1,0.71,1.4,2.9,4.3,1.8,1.7,0.3,1.1,2,8.9,arizatr01
21,Hilton Armstrong,C,24,NOH,70,29,15.6,2,3.5,0.561,0,0,0,2,3.5,0.566,0.561,0.9,1.4,0.633,1.2,1.6,2.8,0.4,0.4,0.6,1.1,2.6,4.8,armsthi01
22,Darrell Arthur,PF,20,MEM,76,64,19.3,2.5,5.7,0.438,0,0,0,2.5,5.7,0.44,0.438,0.5,0.8,0.667,1.4,3.1,4.6,0.6,0.7,0.7,0.6,2.7,5.6,arthuda01
23,Chucky Atkins,PG,34,TOT,33,0,12.5,1,3.4,0.301,0.5,1.7,0.263,0.6,1.7,0.339,0.367,0.5,0.5,0.938,0.2,0.6,0.7,1.8,0.3,0.1,0.7,0.8,3,atkinch01
23,Chucky Atkins,PG,34,DEN,14,0,8.2,0.6,1.9,0.333,0.4,1.2,0.294,0.3,0.7,0.4,0.426,0.3,0.3,1,0,0.4,0.4,2,0.1,0.1,0.7,0.4,1.9,atkinch01
23,Chucky Atkins,PG,34,OKC,19,0,15.6,1.3,4.5,0.291,0.5,2.1,0.25,0.8,2.4,0.326,0.349,0.6,0.6,0.917,0.3,0.7,0.9,1.6,0.4,0.1,0.7,1.2,3.7,atkinch01
24,D.J. Augustin,PG,21,CHA,72,12,26.5,3.7,8.6,0.43,1.5,3.4,0.439,2.2,5.2,0.424,0.517,2.9,3.2,0.893,0.2,1.6,1.8,3.5,0.6,0,1.7,1.9,11.8,augusdj01
25,Kelenna Azubuike,SF,25,GSW,74,51,32.1,5.3,11.4,0.464,1.3,2.8,0.448,4,8.6,0.469,0.52,2.5,3.1,0.808,1.5,3.5,5,1.6,0.8,0.7,1.3,2.5,14.4,azubuke01
26,Renaldo Balkman,PF,24,DEN,53,10,14.7,2.1,3.7,0.558,0,0.1,0.286,2,3.6,0.568,0.563,0.8,1.2,0.646,1.6,2.2,3.8,0.6,0.9,0.4,0.7,1.8,5,balkmre01
27,Marcus Banks,PG,27,TOT,22,0,9.4,1,2.6,0.368,0.1,0.9,0.158,0.8,1.7,0.474,0.395,0.5,0.8,0.611,0,0.8,0.8,1.3,0.5,0.1,0.6,1.2,2.5,banksma01
27,Marcus Banks,PG,27,MIA,16,0,10.4,0.9,2.4,0.385,0.1,0.9,0.143,0.8,1.6,0.52,0.41,0.6,0.9,0.667,0,0.9,0.9,1.4,0.6,0.1,0.7,1.3,2.6,banksma01
27,Marcus Banks,PG,27,TOR,6,0,6.7,1,3,0.333,0.2,0.8,0.2,0.8,2.2,0.385,0.361,0.2,0.5,0.333,0.2,0.3,0.5,1,0.2,0,0.5,0.8,2.3,banksma01
28,Leandro Barbosa,SG,26,PHO,70,11,24.4,5.2,10.8,0.482,1.3,3.4,0.375,3.9,7.4,0.532,0.542,2.4,2.8,0.881,0.5,2.1,2.6,2.3,1.2,0.1,1.3,1.6,14.2,barbole01
29,J.J. Barea,SG,24,DAL,79,15,20.3,3.1,7.1,0.442,0.7,1.9,0.357,2.4,5.1,0.474,0.491,0.9,1.2,0.753,0.5,1.8,2.2,3.4,0.5,0.1,1.3,1.5,7.8,bareajo01
30,Andrea Bargnani,PF,23,TOR,78,59,31.4,5.5,12.3,0.45,1.5,3.7,0.409,4,8.6,0.468,0.512,2.8,3.4,0.831,0.9,4.4,5.3,1.2,0.4,1.2,1.7,3.1,15.4,bargnan01
31,Matt Barnes,PF,28,PHO,77,40,27,3.7,8.8,0.423,1.5,4.4,0.343,2.2,4.3,0.505,0.51,1.3,1.8,0.743,1,4.4,5.5,2.8,0.7,0.3,1.7,2.7,10.2,barnema02
32,Brent Barry,SG,37,HOU,56,1,15.3,1.3,3.1,0.407,0.9,2.3,0.374,0.4,0.7,0.512,0.549,0.3,0.4,0.95,0.3,1.4,1.7,1.4,0.4,0.1,0.9,0.8,3.7,barrybr01
33,Brandon Bass,C,23,DAL,81,0,19.4,3.1,6.3,0.496,0,0.1,0,3.1,6.2,0.502,0.496,2.2,2.6,0.867,1.6,2.9,4.5,0.5,0.3,0.7,1.1,1.7,8.5,bassbr01
34,Maceo Baston,PF,33,IND,27,0,8,0.9,1.7,0.543,0,0,0,0.9,1.7,0.556,0.543,0.6,1,0.63,0.8,1.1,1.9,0.3,0.2,0.4,0.4,1.4,2.5,bastoma01
35,Tony Battie,PF,32,ORL,77,3,15.6,2.1,4.2,0.489,0,0.1,0.222,2,4.1,0.497,0.492,0.7,1.1,0.659,1.2,2.4,3.6,0.4,0.3,0.3,0.6,1.5,4.8,battito01
36,Shane Battier,SG,30,HOU,60,59,33.9,2.4,5.9,0.41,1.5,4,0.384,0.9,2,0.462,0.538,0.9,1.1,0.821,0.9,3.9,4.8,2.3,0.8,0.9,0.8,1.9,7.3,battish01
37,Nicolas Batum,SF,20,POR,79,76,18.4,2,4.6,0.446,0.8,2.1,0.369,1.3,2.4,0.513,0.532,0.5,0.7,0.808,1.1,1.7,2.8,0.9,0.6,0.5,0.6,1.8,5.4,batumni01
38,Jerryd Bayless,PG,20,POR,53,0,12.4,1.3,3.6,0.365,0.1,0.5,0.259,1.2,3.1,0.383,0.384,1.6,1.9,0.806,0.2,0.9,1.1,1.5,0.3,0,1.1,1.5,4.3,bayleje01
39,Michael Beasley,PF,20,MIA,81,19,24.8,5.6,11.8,0.472,0.4,1,0.407,5.2,10.8,0.478,0.49,2.3,3,0.772,1.4,4.1,5.4,1,0.5,0.5,1.5,2.3,13.9,beaslmi01
40,Marco Belinelli,SG,22,GSW,42,23,21,3.3,7.5,0.442,1.2,3.1,0.397,2.1,4.4,0.473,0.524,1,1.2,0.769,0.2,1.5,1.7,2.1,0.9,0,1.4,1.7,8.9,belinma01
41,Charlie Bell,SG,29,MIL,70,23,25.5,3.1,7.5,0.414,1.2,3.4,0.363,1.9,4.1,0.458,0.497,0.9,1.1,0.825,0.5,1.5,1.9,2.2,0.7,0.1,1.1,2,8.4,bellch01
