Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Shareef Abdur-Rahim,PF,29,SAC,72,30,1961,332,632,0.525,5,22,0.227,327,610,0.536,0.529,218,278,0.784,106,251,357,149,48,42,108,227,887,abdursh01
2,Alex Acker,SG,23,DET,5,0,35,4,16,0.25,1,5,0.2,3,11,0.273,0.281,0,0,,1,4,5,4,1,0,4,4,9,ackeral01
3,Malik Allen,PF,27,CHI,54,20,701,121,247,0.49,1,1,1,120,246,0.488,0.492,23,38,0.605,44,96,140,20,14,16,34,92,266,allenma01
4,Ray Allen*,SG,30,SEA,78,78,3022,681,1500,0.454,269,653,0.412,412,847,0.486,0.544,324,359,0.903,71,261,332,286,105,16,188,151,1955,allenra02
5,Tony Allen,PG,24,BOS,51,9,978,129,274,0.471,11,34,0.324,118,240,0.492,0.491,100,134,0.746,32,79,111,67,51,18,67,126,369,allento01
6,Rafer Alston,PG,29,HOU,63,63,2431,280,738,0.379,102,312,0.327,178,426,0.418,0.449,99,143,0.692,36,219,255,425,101,15,157,194,761,alstora01
7,Chris Andersen,C,27,NOK,32,2,570,56,98,0.571,0,0,,56,98,0.571,0.571,49,103,0.476,61,94,155,6,8,41,26,84,161,anderch01
8,Alan Anderson,SF,23,CHA,36,7,564,75,181,0.414,24,58,0.414,51,123,0.415,0.481,33,41,0.805,23,47,70,32,11,4,32,48,207,anderal01
9,Derek Anderson,SG,31,TOT,43,11,1047,108,303,0.356,40,134,0.299,68,169,0.402,0.422,93,111,0.838,21,122,143,101,23,6,54,98,349,anderde01
9,Derek Anderson,SG,31,HOU,20,8,582,68,173,0.393,19,67,0.284,49,106,0.462,0.448,61,73,0.836,12,71,83,53,15,4,37,49,216,anderde01
9,Derek Anderson,SG,31,MIA,23,3,465,40,130,0.308,21,67,0.313,19,63,0.302,0.388,32,38,0.842,9,51,60,48,8,2,17,49,133,anderde01
10,Shandon Anderson,SF,32,MIA,48,1,638,54,126,0.429,5,19,0.263,49,107,0.458,0.448,13,18,0.722,18,63,81,30,17,6,24,75,126,andersh01
11,Martynas Andriuškevičius,C,19,CLE,6,0,9,0,1,0,0,0,,0,1,0,0,0,0,,1,3,4,0,2,0,0,1,0,andrima01
12,Carmelo Anthony,SF,21,DEN,80,80,2941,756,1572,0.481,37,152,0.243,719,1420,0.506,0.493,573,709,0.808,122,272,394,216,88,42,218,229,2122,anthoca01
13,Rafael Araújo,C,25,TOR,52,34,601,53,145,0.366,0,1,0,53,144,0.368,0.366,15,28,0.536,43,101,144,15,24,6,42,104,121,araujra01
14,Gilbert Arenas,PG,24,WAS,80,80,3384,746,1668,0.447,199,540,0.369,547,1128,0.485,0.507,655,799,0.82,59,221,280,484,161,25,297,286,2346,arenagi01
15,Trevor Ariza,SF,20,TOT,57,10,999,93,226,0.412,1,5,0.2,92,221,0.416,0.414,77,127,0.606,78,140,218,61,57,11,62,100,264,arizatr01
15,Trevor Ariza,SF,20,NYK,36,10,709,61,146,0.418,1,3,0.333,60,143,0.42,0.421,42,77,0.545,49,88,137,46,43,9,46,78,165,arizatr01
15,Trevor Ariza,SF,20,ORL,21,0,290,32,80,0.4,0,2,0,32,78,0.41,0.4,35,50,0.7,29,52,81,15,14,2,16,22,99,arizatr01
16,Darrell Armstrong,PG,37,DAL,62,2,622,43,128,0.336,11,48,0.229,32,80,0.4,0.379,33,42,0.786,18,63,81,86,27,3,58,71,130,armstda01
