,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Los Angeles Lakers,28.1,15,4,.789,12,7,106.4,102.3,+4.1,91.5,.349,.224,.527,,.482,12.9,29.1,.252,,.455,12.1,72.9,.231
2,San Antonio Spurs,28.3,4,6,.400,6,4,106.2,102.7,+3.5,85.8,.349,.193,.518,,.465,11.2,26.6,.266,,.466,11.4,72.4,.175
3,Boston Celtics,27.1,9,7,.563,10,6,101.5,98.4,+3.1,89.9,.292,.292,.515,,.469,13.8,25.0,.226,,.450,14.3,75.1,.253
4,Sacramento Kings,27.2,10,6,.625,9,7,106.3,103.9,+2.4,93.9,.363,.196,.529,,.478,13.4,29.4,.269,,.460,12.9,69.6,.222
5,Dallas Mavericks,26.5,4,4,.500,4,4,111.7,111.4,+0.3,96.4,.287,.251,.550,,.499,11.2,24.2,.240,,.493,12.9,67.6,.288
6,Indiana Pacers,26.1,2,3,.400,3,2,97.1,96.9,+0.2,90.6,.297,.155,.533,,.489,17.5,21.5,.226,,.448,13.7,75.8,.205
7,Charlotte Hornets,28.7,4,5,.444,4,4,103.9,103.9,0.0,90.4,.399,.151,.505,,.449,13.4,33.2,.289,,.454,12.4,73.4,.291
8,New Jersey Nets,26.4,11,9,.550,10,10,102.3,102.3,0.0,92.3,.324,.176,.503,,.457,13.0,27.5,.235,,.472,14.5,72.3,.277
9,Detroit Pistons,29.3,4,6,.400,5,5,96.1,96.5,-0.4,86.4,.304,.307,.497,,.454,14.9,22.9,.220,,.446,15.5,72.1,.202
10,Utah Jazz,30.0,1,3,.250,2,2,98.6,99.8,-1.2,89.2,.340,.145,.482,,.437,15.3,33.7,.233,,.436,16.6,69.1,.336
11,Toronto Raptors,29.9,2,3,.400,2,3,97.8,101.1,-3.3,85.7,.267,.137,.486,,.444,15.6,32.1,.197,,.468,15.4,74.3,.281
12,Orlando Magic,28.5,1,3,.250,1,3,101.2,106.6,-5.4,88.1,.395,.210,.509,,.451,11.5,20.8,.293,,.445,12.8,65.9,.310
13,Portland Trail Blazers,29.2,0,3,.000,1,2,99.3,105.1,-5.8,92.0,.337,.220,.485,,.423,13.5,26.9,.268,,.487,13.0,77.4,.327
14,Philadelphia 76ers,29.8,2,3,.400,1,4,102.1,112.2,-10.1,87.2,.435,.177,.508,,.440,14.1,29.9,.329,,.541,13.8,76.5,.184
15,Minnesota Timberwolves,26.5,0,3,.000,1,2,105.5,116.6,-11.1,96.6,.428,.156,.530,,.475,14.0,30.3,.309,,.521,9.9,80.8,.277
16,Seattle Supersonics,27.0,2,3,.400,1,4,101.7,113.8,-12.1,84.7,.239,.153,.490,,.460,10.8,26.6,.163,,.503,10.0,72.7,.263
,League Average,27.8,,,,4,4,103.3,103.3,,90.5,.334,.208,.514,,.466,13.3,27.5,.248,,.466,13.3,72.5,.248
