,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,San Antonio Spurs,27.1,16,8,.667,17,7,103.7,97.7,+6.0,91.0,.399,.198,.525,,.476,14.4,28.6,.284,,.439,14.0,73.4,.216
2,New Jersey Nets,27.3,14,6,.700,12,8,102.6,98.9,+3.7,89.9,.336,.165,.506,,.453,14.1,30.9,.256,,.464,14.8,76.7,.252
3,Sacramento Kings,28.3,7,5,.583,7,5,112.0,109.6,+2.4,94.7,.341,.215,.549,,.499,12.0,29.3,.265,,.495,12.7,70.7,.216
4,Portland Trail Blazers,28.1,3,4,.429,4,3,115.2,114.1,+1.1,87.9,.373,.215,.551,,.501,13.0,36.3,.280,,.507,11.1,72.7,.228
5,Detroit Pistons,27.9,8,9,.471,9,8,102.7,101.7,+1.0,86.5,.416,.258,.515,,.455,13.3,25.5,.308,,.459,14.8,70.6,.253
6,Philadelphia 76ers,29.0,6,6,.500,6,6,105.8,104.8,+1.0,85.6,.345,.141,.527,,.468,14.5,31.3,.277,,.473,13.8,72.3,.268
7,Los Angeles Lakers,27.9,6,6,.500,6,6,107.1,106.9,+0.2,92.8,.313,.240,.529,,.491,12.7,27.9,.222,,.500,13.1,76.2,.251
8,Dallas Mavericks,27.8,10,10,.500,10,10,110.5,111.1,-0.6,93.2,.245,.269,.546,,.503,11.6,25.0,.203,,.494,12.5,70.4,.286
9,Boston Celtics,27.0,4,6,.400,5,5,101.4,102.1,-0.7,90.4,.303,.307,.528,,.477,14.2,20.8,.243,,.449,14.0,73.0,.311
10,New Orleans Hornets,28.8,2,4,.333,3,3,106.4,108.3,-1.9,87.2,.328,.222,.526,,.479,14.2,31.5,.244,,.471,14.0,68.5,.306
11,Milwaukee Bucks,30.3,2,4,.333,2,4,105.8,110.5,-4.7,90.9,.312,.214,.541,,.499,12.9,21.0,.233,,.494,14.7,65.3,.306
12,Phoenix Suns,25.4,2,4,.333,2,4,91.5,97.3,-5.8,91.4,.265,.187,.456,,.414,14.8,27.8,.189,,.438,16.8,67.4,.302
13,Indiana Pacers,26.2,2,4,.333,2,4,100.9,107.1,-6.2,88.8,.418,.227,.496,,.422,13.3,29.4,.330,,.492,12.3,79.2,.251
14,Minnesota Timberwolves,28.0,2,4,.333,2,4,104.2,110.8,-6.6,94.8,.319,.173,.544,,.492,14.6,22.6,.257,,.498,10.7,70.9,.211
15,Orlando Magic,26.5,3,4,.429,2,5,99.5,107.8,-8.3,88.0,.357,.223,.517,,.459,15.3,24.7,.279,,.462,13.0,69.2,.328
16,Utah Jazz,31.2,1,4,.200,1,4,104.2,116.1,-11.9,89.2,.386,.087,.511,,.446,15.3,35.4,.303,,.516,12.9,65.3,.272
,League Average,27.8,,,,6,5,105.1,105.1,,90.3,.340,.215,.525,,.474,13.6,27.9,.259,,.474,13.6,72.1,.259
