,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Los Angeles Lakers,28.3,15,1,.938,14,2,111.6,97.9,+13.7,92.0,.375,.194,.542,,.505,12.8,33.0,.254,,.433,13.1,74.1,.249
2,Charlotte Hornets,28.1,6,4,.600,7,3,108.0,100.9,+7.1,88.6,.402,.154,.521,,.462,11.6,30.3,.301,,.470,14.7,73.8,.211
3,Milwaukee Bucks,28.4,10,8,.556,10,8,107.8,106.2,+1.6,88.3,.294,.218,.526,,.476,12.5,30.4,.235,,.447,10.8,68.8,.242
4,Toronto Raptors,29.6,6,6,.500,6,6,106.0,105.0,+1.0,86.9,.262,.190,.520,,.481,13.3,29.4,.198,,.477,13.8,71.4,.259
5,Sacramento Kings,26.8,3,5,.375,4,4,101.5,101.3,+0.2,96.2,.333,.166,.495,,.432,14.4,32.0,.272,,.448,13.0,69.9,.256
6,Philadelphia 76ers,28.3,12,11,.522,11,12,105.7,105.8,-0.1,87.0,.332,.141,.498,,.445,11.8,32.7,.253,,.486,13.3,71.5,.201
7,San Antonio Spurs,30.2,7,6,.538,6,7,102.2,102.6,-0.4,89.6,.353,.200,.521,,.475,13.7,25.0,.253,,.442,11.1,70.7,.202
8,New York Knicks,29.9,2,3,.400,2,3,101.3,105.0,-3.7,87.8,.328,.165,.545,,.496,15.2,22.4,.255,,.462,13.3,70.1,.231
9,Dallas Mavericks,26.1,4,6,.400,4,6,104.2,108.4,-4.2,88.5,.317,.213,.501,,.436,11.2,27.0,.269,,.491,13.1,69.7,.255
10,Utah Jazz,32.6,2,3,.400,2,3,103.8,108.6,-4.8,86.3,.332,.141,.503,,.447,12.0,30.3,.257,,.468,13.1,75.0,.332
11,Orlando Magic,25.9,1,3,.250,1,3,107.9,113.9,-6.0,92.8,.273,.228,.511,,.479,10.1,27.4,.187,,.453,10.3,63.4,.334
12,Indiana Pacers,27.8,1,3,.250,1,3,100.3,107.5,-7.2,87.0,.228,.222,.482,,.436,12.1,26.4,.188,,.444,10.6,65.9,.277
13,Minnesota Timberwolves,27.8,1,3,.250,1,3,93.5,100.9,-7.4,87.7,.270,.126,.461,,.406,12.5,25.0,.220,,.470,14.1,75.9,.257
14,Phoenix Suns,28.7,1,3,.250,1,3,92.2,102.1,-9.9,96.0,.254,.190,.445,,.404,12.1,27.7,.182,,.434,15.1,65.8,.282
15,Portland Trail Blazers,31.3,0,3,.000,0,3,97.3,113.4,-16.1,91.4,.341,.266,.507,,.454,14.6,22.1,.258,,.486,10.6,65.6,.237
16,Miami Heat,29.8,0,3,.000,0,3,87.5,112.4,-24.9,89.6,.267,.230,.484,,.447,18.8,18.8,.189,,.496,13.6,69.7,.363
,League Average,28.6,,,,4,4,104.5,104.5,,89.3,.322,.185,.511,,.462,12.7,29.3,.244,,.462,12.7,70.7,.244
