Rk,Team▲,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Atlanta Hawks,82,240.6,35.1,81.3,.431,4.1,11.4,.357,31.0,69.9,.443,16.8,22.1,.759,12.5,30.4,42.9,19.0,7.7,4.7,16.7,22.7,91.0
2,Boston Celtics,82,241.8,33.8,79.1,.428,7.2,19.9,.363,26.6,59.2,.450,19.8,26.7,.740,10.9,28.9,39.8,20.8,9.4,4.1,15.7,23.8,94.6
3,Charlotte Hornets*,82,242.4,34.1,79.3,.431,4.1,12.0,.346,30.0,67.3,.446,19.5,26.2,.745,12.6,31.8,44.4,23.2,8.1,5.5,14.4,21.4,91.9
4,Chicago Bulls,82,242.1,33.2,78.2,.424,4.0,11.6,.346,29.2,66.6,.438,17.2,23.3,.739,11.3,27.6,38.9,22.1,8.2,4.6,15.8,23.2,87.6
5,Cleveland Cavaliers,82,241.8,35.2,79.7,.442,2.7,8.0,.334,32.6,71.6,.455,19.0,24.9,.765,12.4,29.8,42.1,20.8,7.8,5.3,16.5,23.2,92.2
6,Dallas Mavericks*,82,241.5,37.6,81.9,.459,6.3,16.5,.381,31.3,65.4,.479,18.9,23.8,.794,10.1,31.4,41.5,21.2,7.5,6.0,13.9,23.3,100.5
7,Denver Nuggets,82,241.2,36.3,83.9,.433,6.2,17.6,.355,30.1,66.3,.454,17.7,24.0,.737,12.7,31.5,44.2,24.0,6.7,6.6,13.9,22.2,96.6
8,Detroit Pistons,82,242.1,35.6,83.9,.424,4.7,13.6,.350,30.9,70.3,.439,19.6,27.2,.721,13.5,32.0,45.5,19.9,7.5,5.5,15.9,23.8,95.6
9,Golden State Warriors,82,241.2,35.8,87.5,.409,3.4,11.8,.293,32.4,75.7,.427,17.4,24.7,.706,16.4,29.1,45.5,21.8,9.0,5.0,15.9,21.1,92.5
10,Houston Rockets,82,241.8,35.9,79.2,.453,6.1,17.2,.357,29.7,62.0,.480,19.3,25.4,.758,11.2,30.8,42.0,19.7,7.2,4.4,14.7,20.2,97.2
11,Indiana Pacers*,82,243.7,34.5,78.4,.440,4.8,14.1,.342,29.7,64.3,.461,18.8,24.5,.766,11.2,31.6,42.9,21.5,6.9,5.9,15.2,23.5,92.6
12,Los Angeles Clippers,82,244.3,35.3,78.9,.448,4.4,13.0,.339,30.9,65.9,.469,17.4,25.1,.693,11.7,31.2,42.9,19.3,6.0,6.3,15.8,21.6,92.5
13,Los Angeles Lakers*,82,242.7,37.9,81.5,.465,5.4,15.5,.344,32.6,66.0,.494,19.4,28.5,.683,13.2,31.5,44.7,23.0,6.9,6.0,14.4,22.8,100.6
14,Miami Heat*,82,242.4,32.9,76.3,.430,5.8,16.9,.345,27.0,59.4,.455,17.4,22.9,.759,9.9,29.7,39.6,19.9,7.7,3.7,13.7,21.0,88.9
15,Milwaukee Bucks*,82,241.2,38.0,82.9,.458,6.9,18.1,.379,31.1,64.8,.480,18.0,22.9,.787,11.9,30.5,42.4,22.5,8.2,4.7,13.7,23.5,100.7
16,Minnesota Timberwolves*,82,241.8,38.4,83.8,.458,3.9,11.0,.357,34.5,72.8,.473,16.6,21.2,.785,12.2,30.1,42.3,25.4,8.3,5.6,13.9,23.2,97.3
17,New Jersey Nets,82,240.6,33.9,79.9,.425,4.4,13.2,.333,29.5,66.7,.443,19.9,26.2,.759,11.1,28.5,39.6,19.5,7.9,5.0,14.7,24.2,92.1
18,New York Knicks*,82,242.7,33.6,75.6,.444,4.8,13.6,.351,28.8,62.0,.465,16.8,21.1,.796,9.4,30.8,40.2,18.5,6.6,4.2,14.5,22.7,88.7
19,Orlando Magic*,82,243.4,36.7,83.8,.438,6.0,16.4,.364,30.8,67.4,.456,18.0,25.2,.714,13.0,29.9,42.9,22.0,8.2,5.9,15.2,25.3,97.5
