Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp 2P,Opp 2PA,Opp 2P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Opp PTS,Age,W%,PW%,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,DRB%,Opp FT/FGA
Houston Rockets 2024,41.9,90.8,0.461,12.5,35.4,0.353,29.3,55.4,0.53,18.2,23.5,0.774,11.4,34.6,46.0,24.8,7.7,4.6,12.9,21.0,114.4,40.6,88.2,0.46,12.3,35.5,0.346,28.3,52.7,0.537,19.2,25.4,0.755,10.7,34.0,44.7,24.3,7.3,5.9,13.6,19.8,112.6,25.1,0.5138888888888888,0.5555555555555556,1.89,0.05,1.94,114.5,112.6,1.9,99.1,0.259,0.39,0.566,0.53,11.3,25.2,0.2,0.529,12.1,76.4,0.217
Indiana Pacers 2024,46.7,92.5,0.505,13.3,35.3,0.376,33.5,57.2,0.585,16.2,20.9,0.776,10.0,31.3,41.4,30.6,7.7,5.8,13.0,21.5,122.9,44.8,89.9,0.499,10.9,29.3,0.371,34.0,60.6,0.561,20.4,25.9,0.787,11.0,32.6,43.6,24.8,6.7,5.5,14.0,18.5,120.9,25.3,0.5540540540540541,0.5540540540540541,1.99,-0.18,1.81,120.5,118.5,2.0,101.9,0.226,0.382,0.605,0.577,11.4,23.5,0.175,0.559,12.1,74.1,0.227
Los Angeles Clippers 2024,42.5,86.5,0.492,12.9,33.3,0.387,29.7,53.2,0.558,18.4,22.4,0.82,9.9,32.5,42.4,25.8,7.8,5.2,13.0,18.5,116.3,41.8,88.7,0.472,13.0,35.1,0.37,28.8,53.6,0.538,16.2,20.9,0.776,11.1,30.8,41.9,26.5,7.1,4.6,13.0,19.2,112.9,30.5,0.625,0.6111111111111112,3.47,0.15,3.63,119.7,116.2,3.5,97.0,0.259,0.385,0.604,0.567,11.9,24.3,0.213,0.545,11.7,74.6,0.183
Los Angeles Lakers 2024,43.7,87.6,0.498,11.8,31.0,0.38,31.9,56.6,0.563,19.0,24.4,0.78,8.1,34.9,43.0,28.6,7.3,5.6,13.7,15.8,118.1,44.6,94.2,0.473,14.2,38.0,0.373,30.4,56.2,0.541,14.5,18.2,0.797,11.1,33.2,44.4,28.5,8.0,4.8,13.1,19.9,117.8,27.9,0.5616438356164384,0.5068493150684932,0.27,0.61,0.88,116.0,115.7,0.3,100.8,0.278,0.354,0.601,0.566,12.2,19.6,0.217,0.548,11.4,75.8,0.154
Memphis Grizzlies 2024,38.3,87.7,0.436,13.4,38.5,0.347,24.9,49.2,0.506,16.2,21.4,0.76,10.5,31.7,42.2,24.9,8.0,6.2,15.1,19.2,106.1,41.4,87.4,0.474,13.3,35.2,0.379,28.1,52.2,0.539,16.9,21.7,0.779,10.7,35.1,45.8,26.6,8.1,6.4,14.9,19.1,113.1,24.5,0.3287671232876712,0.2876712328767123,-6.97,0.62,-6.35,107.3,114.4,-7.1,98.3,0.244,0.44,0.547,0.513,13.5,23.0,0.185,0.55,13.3,74.8,0.193
Miami Heat 2024,39.6,85.6,0.462,12.2,33.3,0.367,27.3,52.4,0.522,18.0,22.1,0.814,9.4,32.7,42.1,25.6,7.4,3.3,12.5,17.4,109.3,40.3,85.7,0.471,13.3,36.7,0.361,27.1,49.0,0.553,15.0,19.4,0.774,9.2,33.7,42.9,26.7,6.6,4.9,13.7,18.9,108.9,28.0,0.5416666666666666,0.5138888888888888,0.4,-0.41,-0.01,113.5,113.0,0.5,96.2,0.258,0.388,0.573,0.533,11.6,21.9,0.21,0.548,12.7,78.0,0.175
Milwaukee Bucks 2024,43.6,89.0,0.49,14.4,38.3,0.377,29.2,50.7,0.576,19.0,24.5,0.774,9.4,34.9,44.2,26.7,6.9,5.0,12.7,19.5,120.6,43.5,92.4,0.47,12.7,35.4,0.359,30.8,57.0,0.54,17.4,21.6,0.805,10.4,33.8,44.2,26.7,6.8,4.2,12.1,19.5,117.0,30.1,0.6388888888888888,0.5972222222222222,3.58,-0.32,3.27,119.4,115.8,3.6,100.3,0.276,0.43,0.605,0.571,11.3,21.7,0.213,0.539,10.6,77.0,0.188
Minnesota Timberwolves 2024,41.3,85.3,0.484,12.7,32.6,0.388,28.7,52.8,0.544,17.7,22.8,0.78,9.5,34.5,43.9,26.5,7.6,6.0,14.2,19.0,113.1,38.9,86.9,0.447,11.3,32.3,0.35,27.5,54.6,0.505,17.3,22.0,0.786,10.3,31.0,41.3,24.2,7.4,4.7,14.1,19.8,106.3,27.2,0.6944444444444444,0.7083333333333334,6.74,-0.06,6.68,115.7,108.8,6.9,97.0,0.267,0.382,0.593,0.559,12.9,23.4,0.208,0.512,12.7,77.0,0.199
New Orleans Pelicans 2024,42.8,87.5,0.489,12.3,32.4,0.38,30.5,55.2,0.553,17.7,23.1,0.768,10.6,33.9,44.4,27.1,8.2,4.8,13.2,18.7,115.7,40.3,87.7,0.46,13.4,38.8,0.345,26.9,48.8,0.551,16.5,21.1,0.783,10.3,32.0,42.3,26.6,6.5,5.3,14.1,18.5,110.5,26.0,0.6111111111111112,0.6527777777777778,5.17,-0.13,5.03,117.8,112.5,5.3,98.1,0.264,0.37,0.592,0.56,11.9,24.8,0.202,0.536,12.7,76.7,0.189
New York Knicks 2024,41.1,88.7,0.463,13.2,36.1,0.365,27.9,52.5,0.531,17.1,21.8,0.782,12.8,32.9,45.7,24.2,7.3,4.2,13.3,17.7,112.4,40.0,85.8,0.467,12.5,34.3,0.365,27.5,51.5,0.535,15.0,19.6,0.764,10.1,30.3,40.4,25.5,6.8,5.3,13.1,19.1,107.5,26.4,0.6111111111111112,0.6527777777777778,4.86,-0.32,4.54,117.8,112.7,5.1,95.4,0.246,0.408,0.572,0.538,11.9,29.7,0.192,0.539,12.2,76.6,0.175
Oklahoma City Thunder 2024,44.6,89.5,0.499,13.4,34.3,0.39,31.3,55.2,0.566,17.8,21.4,0.829,8.9,33.0,41.9,26.8,8.3,6.6,12.5,19.2,120.4,40.8,89.3,0.457,13.4,36.9,0.363,27.4,52.4,0.523,18.3,23.3,0.786,11.9,32.9,44.8,27.0,7.0,5.1,15.8,19.1,113.2,23.3,0.6944444444444444,0.7083333333333334,7.22,-0.21,7.01,119.8,112.6,7.2,99.8,0.239,0.383,0.608,0.573,11.2,21.2,0.198,0.532,13.7,73.4,0.205
Orlando Magic 2024,40.6,84.9,0.478,11.0,31.2,0.352,29.6,53.8,0.55,18.5,24.6,0.751,10.7,31.9,42.6,24.7,8.1,5.2,14.8,20.1,110.6,39.9,84.3,0.474,11.5,32.3,0.355,28.5,51.9,0.548,17.3,22.4,0.773,9.0,30.9,39.9,23.9,8.1,4.6,14.9,21.0,108.7,24.0,0.5833333333333334,0.5555555555555556,1.94,-0.47,1.47,113.3,111.3,2.0,97.0,0.29,0.367,0.577,0.542,13.4,25.7,0.218,0.542,13.7,78.1,0.206
Philadelphia 76ers 2024,41.3,89.2,0.463,11.7,32.7,0.357,29.6,56.5,0.524,19.9,24.1,0.825,11.1,31.6,42.7,24.5,8.4,5.9,11.8,20.5,114.1,40.6,86.3,0.471,11.9,33.6,0.354,28.7,52.6,0.545,18.9,23.9,0.79,11.1,33.4,44.5,26.1,6.1,6.2,14.5,18.8,112.0,28.3,0.5342465753424658,0.5616438356164384,2.08,-0.27,1.81,116.7,114.6,2.1,97.5,0.27,0.366,0.572,0.528,10.6,24.9,0.223,0.54,13.0,74.0,0.219
Phoenix Suns 2024,42.8,86.2,0.496,12.2,32.0,0.382,30.5,54.2,0.563,19.1,23.8,0.804,10.2,34.2,44.3,27.0,7.2,6.1,14.9,18.1,116.9,42.2,91.2,0.463,13.2,36.6,0.362,28.9,54.6,0.53,16.3,21.2,0.767,11.2,30.1,41.3,26.3,8.3,4.6,12.5,20.0,113.9,29.2,0.589041095890411,0.589041095890411,2.97,-0.54,2.43,118.0,115.0,3.0,98.5,0.276,0.372,0.604,0.567,13.4,25.3,0.222,0.535,11.0,75.4,0.178
Portland Trail Blazers 2024,39.6,89.2,0.444,11.7,33.1,0.353,27.9,56.1,0.497,16.7,21.0,0.793,12.2,29.7,41.9,23.1,7.8,4.5,15.2,20.4,107.6,42.7,86.8,0.492,11.7,33.1,0.353,31.0,53.8,0.577,18.8,23.7,0.792,10.8,33.0,43.8,27.1,8.8,6.5,14.6,18.1,115.8,24.3,0.2602739726027397,0.2602739726027397,-8.29,0.76,-7.53,109.3,117.7,-8.4,97.3,0.235,0.371,0.546,0.509,13.4,27.0,0.187,0.559,13.1,73.3,0.216
Sacramento Kings 2024,43.7,91.0,0.48,14.1,38.8,0.364,29.6,52.1,0.567,15.8,21.1,0.746,10.6,33.1,43.7,28.5,7.5,4.2,13.3,20.0,117.3,42.3,87.3,0.484,13.2,33.7,0.392,29.1,53.7,0.542,18.6,23.1,0.805,9.1,33.4,42.5,27.3,7.5,4.6,13.9,18.6,116.3,26.4,0.5833333333333334,0.5277777777777778,1.04,0.34,1.38,117.0,115.9,1.1,99.3,0.232,0.427,0.585,0.558,11.7,24.0,0.173,0.56,12.5,78.5,0.213
San Antonio Spurs 2024,41.9,90.7,0.462,12.4,35.9,0.347,29.5,54.8,0.537,15.7,20.1,0.783,10.3,33.3,43.6,29.7,7.3,6.3,15.0,17.5,111.9,44.9,91.5,0.491,12.8,33.9,0.378,32.1,57.5,0.559,16.5,21.2,0.779,10.4,34.8,45.2,28.1,8.8,4.7,13.6,18.1,119.2,23.0,0.2328767123287671,0.2876712328767123,-7.23,0.61,-6.63,110.1,117.2,-7.1,101.3,0.222,0.396,0.562,0.531,13.1,22.8,0.173,0.561,11.9,76.2,0.18
Toronto Raptors 2024,42.5,89.8,0.473,11.6,33.2,0.35,30.8,56.6,0.545,16.0,21.4,0.749,11.0,31.7,42.7,29.0,7.8,4.8,13.8,18.3,112.6,44.6,91.2,0.489,13.4,35.8,0.374,31.2,55.4,0.563,15.6,19.7,0.793,11.2,33.9,45.2,28.3,7.1,5.5,13.9,18.1,118.1,26.0,0.3150684931506849,0.3424657534246575,-5.53,-0.07,-5.6,112.8,118.3,-5.5,99.1,0.238,0.37,0.567,0.538,12.2,24.4,0.178,0.562,12.2,73.9,0.171
Utah Jazz 2024,42.3,90.3,0.469,13.0,36.7,0.355,29.3,53.6,0.546,18.8,22.7,0.83,12.3,33.6,45.9,27.8,6.6,5.7,15.6,18.8,116.5,44.6,91.6,0.487,14.8,37.2,0.397,29.8,54.4,0.548,16.8,21.8,0.771,10.7,31.3,42.0,29.8,8.5,6.4,12.3,19.5,120.8,25.4,0.3972602739726027,0.3835616438356164,-4.21,0.42,-3.79,116.0,120.2,-4.2,99.7,0.251,0.406,0.581,0.541,13.4,28.2,0.209,0.567,10.8,75.8,0.184
Washington Wizards 2024,43.0,91.5,0.47,12.3,35.2,0.349,30.7,56.3,0.545,15.5,20.3,0.765,9.4,31.5,41.0,28.0,7.6,5.1,14.0,19.8,113.7,46.3,93.0,0.498,12.3,33.9,0.363,33.9,59.0,0.575,18.5,23.8,0.779,12.2,36.7,48.8,29.3,7.8,6.0,14.1,17.9,123.4,25.0,0.1917808219178082,0.2465753424657534,-9.66,0.08,-9.58,110.6,120.0,-9.4,102.5,0.222,0.384,0.566,0.537,12.2,20.5,0.17,0.564,12.0,72.1,0.199
