,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Denver Nuggets,26.8,16,4,0.8,15,5,119.5,110.8,8.7,94.4,0.257,0.349,0.593,,0.557,10.8,25.2,0.206,,0.515,10.4,80.7,0.198
2,Boston Celtics,27.7,11,9,0.55,12,8,117.2,113.7,3.5,95,0.234,0.452,0.594,,0.56,11.6,23,0.189,,0.527,11.4,77.5,0.185
3,Los Angeles Lakers,27.8,8,8,0.5,9,7,113.7,111.3,2.4,98.1,0.285,0.347,0.573,,0.529,10.9,21.1,0.23,,0.513,11.4,74,0.148
4,Miami Heat,29,13,10,0.565,13,10,114.1,112.5,1.6,94.5,0.228,0.388,0.567,,0.531,10.9,21.5,0.185,,0.534,12.6,74.9,0.213
5,New York Knicks,24.7,6,5,0.545,6,5,108.9,108.5,0.4,91.9,0.329,0.402,0.537,,0.492,13.6,30.8,0.246,,0.502,12.2,76.8,0.206
6,Golden State Warriors,28.6,6,7,0.462,6,7,111.9,112.1,-0.2,101,0.21,0.454,0.553,,0.525,12.3,26.6,0.158,,0.511,11,75.3,0.222
7,Philadelphia 76ers,28.3,7,4,0.636,5,6,111.2,112.8,-1.6,91.4,0.227,0.404,0.555,,0.51,11.8,23.5,0.201,,0.54,11.4,81.4,0.197
8,Sacramento Kings,25.3,3,4,0.429,3,4,110.7,112.8,-2.1,102.7,0.269,0.416,0.532,,0.493,11.7,28.9,0.205,,0.527,12.3,73.8,0.205
9,Phoenix Suns,29.1,6,5,0.545,5,6,117,119.4,-2.4,97.6,0.269,0.297,0.588,,0.55,11.1,22.9,0.215,,0.543,11.1,73.4,0.231
10,Milwaukee Bucks,30.8,1,4,0.2,2,3,114,118.9,-4.9,102.1,0.231,0.445,0.582,,0.559,12.4,22.5,0.164,,0.605,13,82.2,0.171
11,Atlanta Hawks,25.2,2,4,0.333,2,4,115,120.3,-5.3,100.7,0.176,0.388,0.558,,0.529,11,25.1,0.144,,0.6,11.6,78.5,0.144
12,Cleveland Cavaliers,25,1,4,0.2,2,3,103.4,109.3,-5.9,91.1,0.237,0.39,0.544,,0.513,15.4,23.2,0.176,,0.48,13.8,65.1,0.229
13,Los Angeles Clippers,30.2,1,4,0.2,2,3,117.1,123.6,-6.5,98.7,0.298,0.381,0.577,,0.529,12.3,26.8,0.246,,0.57,10.9,72.7,0.268
14,Memphis Grizzlies,24.1,2,4,0.333,2,4,104,111.4,-7.4,99,0.201,0.404,0.504,,0.465,11.1,25.6,0.168,,0.523,12.9,74.6,0.191
15,Minnesota Timberwolves,27.4,1,4,0.2,1,4,109.7,118.9,-9.2,94.1,0.293,0.39,0.565,,0.525,12.1,19.5,0.225,,0.552,11,75.1,0.196
16,Brooklyn Nets,27.3,0,4,0,1,3,103.1,115.6,-12.5,89.7,0.236,0.447,0.542,,0.513,12.6,14,0.172,,0.529,12.6,68.8,0.155
17,Chicago Bulls,,0,0,,,,,,,,,,,,,,,,,,,,
18,New Orleans Pelicans,,0,0,,,,,,,,,,,,,,,,,,,,
19,Oklahoma City Thunder,,0,0,,,,,,,,,,,,,,,,,,,,
20,Toronto Raptors,,0,0,,,,,,,,,,,,,,,,,,,,
,League Average,27.5,,,,5,5,113.5,113.5,,96.1,0.248,0.393,0.566,,,11.7,24,0.197,,,11.7,76,0.197
