Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp 2P,Opp 2PA,Opp 2P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Opp PTS,Age,W%,PW%,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,DRB%,Opp FT/FGA,W
Atlanta Hawks 2000,0.9945652173913044,1.0109622411693058,0.9821826280623608,0.6458333333333334,0.7226277372262775,0.8980169971671389,1.04375,1.0687134502923974,0.9786324786324786,0.9473684210526315,0.9565217391304347,0.9906666666666667,1.129032258064516,1.0262295081967214,1.0559440559440558,0.8475336322869954,0.7721518987341771,1.0769230769230769,0.9935483870967742,0.9012875536480687,0.9671794871794871,1.065217391304348,1.048721071863581,1.0133630289532294,0.9375,0.905109489051095,1.0396600566572238,1.08125,1.077485380116959,1.0021367521367521,0.8842105263157896,0.8656126482213438,1.0253333333333334,1.032258064516129,0.9901639344262295,1.0023310023310024,1.0313901345291479,1.0126582278481011,0.9423076923076923,0.7870967741935483,0.9570815450643777,1.0225641025641026,0.9928057553956835,0.34146341463414637,0.6341463414634146,-5.38,-0.04,-5.41,0.9798270893371759,1.0365033621517772,-5.9,0.9849624060150377,0.948051948051948,0.7185628742514969,0.9617590822179732,0.9623430962343097,0.9929577464788732,1.0968858131487889,0.9393939393939393,1.006276150627615,0.795774647887324,0.9985935302390999,0.8484848484848485,-1.0
Boston Celtics 2000,1.0108695652173914,1.0219244823386116,0.9888641425389755,1.0625,1.124087591240876,0.9376770538243627,1.00625,1.0014619883040934,1.0021367521367521,1.0421052631578949,1.0474308300395256,0.9933333333333333,1.0887096774193548,0.9672131147540983,1.0023310023310024,0.9506726457399103,1.2278481012658227,0.673076923076923,0.9935483870967742,1.1630901287553648,1.0184615384615385,0.9809782608695653,0.9366626065773448,1.0467706013363027,0.9166666666666667,0.8832116788321168,1.0226628895184136,0.990625,0.945906432748538,1.0470085470085468,1.236842105263158,1.2371541501976284,1.004,0.8467741935483871,1.0131147540983607,0.965034965034965,0.9820627802690582,0.9873417721518987,1.1153846153846154,1.096774193548387,1.0085836909871244,1.0266666666666666,0.9136690647482013,0.4268292682926829,0.9512195121951219,-0.76,-0.24,-1.0,1.0067243035542748,1.0144092219020173,-0.8,1.016111707841031,1.025974025974026,1.0958083832335328,0.9942638623326959,0.9916317991631799,0.9718309859154931,1.0519031141868511,1.0216450216450215,1.0418410041841004,1.1126760563380282,1.0379746835443038,1.3246753246753247,-1.0
Charlotte Hornets 2000,0.9728260869565217,0.9707673568818515,1.0,0.8541666666666666,0.8905109489051095,0.9603399433427763,0.990625,0.9868421052631579,1.0021367521367521,1.194736842105263,1.1857707509881423,1.0106666666666666,0.8709677419354839,1.0524590163934426,1.0,1.10762331838565,1.1265822784810127,1.1346153846153846,0.9483870967741935,0.8755364806866952,1.0092307692307694,1.0108695652173914,1.0121802679658953,0.9977728285077951,1.0416666666666667,0.9635036496350365,1.0708215297450425,1.00625,1.0204678362573099,0.985042735042735,0.863157894736842,0.8695652173913043,0.9933333333333333,0.9516129032258065,1.019672131147541,1.0,1.0403587443946187,0.9367088607594937,0.9807692307692306,1.0193548387096774,1.0858369098712446,0.9825641025641025,1.0323741007194245,0.5975609756097561,1.1951219512195121,2.67,-0.34,2.33,1.0019212295869357,0.974063400576369,2.9,1.00859291084855,1.2207792207792207,0.9161676646706586,1.0133843212237095,0.9937238493723849,0.9647887323943662,0.889273356401384,1.2337662337662336,1.0,1.028169014084507,1.029535864978903,0.8571428571428571,1.0
Chicago Bulls 2000,0.8505434782608696,0.9183922046285019,0.9242761692650333,0.8541666666666666,0.9197080291970803,0.9320113314447593,0.846875,0.9181286549707601,0.923076923076923,0.9526315789473685,1.007905138339921,0.9453333333333332,1.0161290322580645,0.9278688524590164,0.9533799533799534,0.9013452914798207,1.0,0.9038461538461539,1.2258064516129032,1.0,0.8697435897435897,0.9673913043478262,0.9500609013398296,1.0155902004454342,0.9166666666666667,0.9343065693430658,0.9660056657223798,0.975,0.9532163742690059,1.0213675213675213,0.9842105263157894,0.9960474308300394,0.988,0.9838709677419354,0.9672131147540983,0.9720279720279721,1.0403587443946187,1.3164556962025316,1.0769230769230769,0.9806451612903225,1.0300429184549356,0.9661538461538461,0.935251798561151,0.2073170731707317,0.36585365853658536,-9.4,0.17,-9.23,0.904899135446686,1.004803073967339,-10.4,0.9602577873254566,1.0974025974025974,1.0,0.9369024856596557,0.9267782426778243,1.267605633802817,1.0346020761245676,1.0389610389610389,1.0125523012552302,1.0211267605633803,0.9831223628691985,1.0389610389610389,-1.0
Cleveland Cavaliers 2000,0.9864130434782609,1.0,0.9844097995545656,0.8750000000000001,0.8175182481751825,1.056657223796034,1.003125,1.036549707602339,0.967948717948718,1.063157894736842,1.0632411067193674,1.0,0.9919354838709677,1.0,0.9976689976689976,1.062780269058296,1.10126582278481,0.8461538461538461,1.1225806451612903,1.1630901287553648,0.9948717948717949,0.9891304347826088,1.0,0.9866369710467706,1.0625,1.094890510948905,0.9688385269121814,0.978125,0.9824561403508771,0.9935897435897436,1.1894736842105265,1.150197628458498,1.0346666666666666,1.0,1.0327868852459017,1.0233100233100234,1.062780269058296,1.0126582278481011,1.173076923076923,1.0903225806451613,1.0772532188841202,1.0307692307692307,0.9784172661870503,0.3902439024390244,0.7560975609756098,-3.5,-0.14,-3.64,0.9644572526416908,0.9990393852065322,-3.6,1.0279269602577874,1.0616883116883118,0.8143712574850299,0.9866156787762906,0.9790794979079499,1.0985915492957747,0.9723183391003462,1.0606060606060606,0.9916317991631799,1.063380281690141,1.0014064697609002,1.1904761904761905,-1.0
Dallas Mavericks 2000,1.0597826086956523,1.046285018270402,1.0089086859688197,1.3125,1.1824817518248176,1.1076487252124647,1.01875,1.0204678362573099,1.0,0.9052631578947368,0.8458498023715414,1.072,0.9193548387096774,0.9770491803278689,0.9603729603729605,0.9910313901345292,0.9113924050632911,0.9807692307692306,0.8838709677419354,0.9270386266094421,1.04,1.0679347826086956,1.0475030450669915,1.017817371937639,1.0833333333333335,1.1094890510948905,0.9773371104815863,1.065625,1.0350877192982455,1.0277777777777777,0.9526315789473685,0.9683794466403162,0.9866666666666667,1.2338709677419355,1.0885245901639344,1.1282051282051282,1.0403587443946187,0.9367088607594937,0.9807692307692306,1.038709677419355,0.9484978540772533,1.0461538461538462,0.9460431654676259,0.4878048780487805,0.9512195121951219,-0.57,0.29,-0.29,1.0240153698366954,1.0297790585975024,-0.6,1.0193340494092376,0.8051948051948052,1.125748502994012,1.0172084130019121,1.0251046025104602,0.8873239436619719,0.8823529411764707,0.8658008658008658,1.0209205020920502,1.0,0.929676511954993,0.9090909090909091,-1.0
Denver Nuggets 2000,1.013586956521739,1.0267965895249695,0.9844097995545656,1.1875,1.2408759124087592,0.9518413597733713,0.984375,0.9824561403508771,1.0021367521367521,0.9842105263157894,1.0197628458498025,0.9653333333333333,1.0564516129032258,1.0360655737704918,1.041958041958042,1.0448430493273542,0.860759493670886,1.4423076923076923,1.0064516129032257,1.0257510729613732,1.0153846153846153,1.0380434782608696,1.032886723507917,1.0022271714922049,1.0208333333333335,1.0,1.0028328611898016,1.040625,1.039473684210526,1.0021367521367521,1.0473684210526315,1.0474308300395256,1.0013333333333334,1.0080645161290323,1.042622950819672,1.0326340326340326,1.0941704035874438,0.9493670886075949,1.0769230769230769,0.9290322580645162,1.0128755364806867,1.0369230769230768,0.9316546762589927,0.4268292682926829,0.8536585365853658,-2.12,0.36,-1.76,0.9942363112391931,1.016330451488953,-2.3,1.0171858216971,0.9935064935064934,1.2095808383233533,0.988527724665392,0.99581589958159,0.9859154929577465,1.0103806228373702,0.961038961038961,1.002092050209205,0.9154929577464789,1.0070323488045008,1.0173160173160172,-1.0
Detroit Pistons 2000,1.0081521739130437,0.9853836784409259,1.022271714922049,1.1250000000000002,1.0875912408759125,1.0169971671388103,0.99375,0.9649122807017543,1.0277777777777777,1.2578947368421052,1.2094861660079053,1.0413333333333334,0.9032258064516128,0.9836065573770492,0.9603729603729605,0.9327354260089686,1.0253164556962024,0.6346153846153846,1.0129032258064516,1.0515021459227467,1.0615384615384615,1.032608695652174,0.9963459196102314,1.0356347438752784,1.1666666666666667,1.094890510948905,1.0509915014164306,1.015625,0.9751461988304093,1.0384615384615383,1.0736842105263158,1.0790513833992095,0.9946666666666667,0.9596774193548387,1.0,0.9883449883449883,1.0358744394618835,1.0126582278481011,0.923076923076923,1.103225806451613,1.1630901287553648,1.0461538461538462,1.0179856115107915,0.5121951219512195,1.0975609756097562,1.44,-0.31,1.13,1.0307396733909702,1.016330451488953,1.5,1.0279269602577874,1.2272727272727273,1.1017964071856288,1.0478011472275335,1.0292887029288704,1.0070422535211268,0.9273356401384084,1.277056277056277,1.0439330543933054,1.0845070422535212,1.0070323488045008,1.077922077922078,0.0
Golden State Warriors 2000,0.9918478260869567,1.0609013398294762,0.9354120267260578,0.8750000000000001,0.9489051094890512,0.9150141643059491,1.009375,1.0818713450292397,0.9337606837606837,0.9631578947368421,1.0355731225296443,0.9293333333333332,1.282258064516129,0.9737704918032787,1.062937062937063,1.0134529147982063,1.1265822784810127,0.8269230769230769,1.0258064516129033,1.0686695278969955,0.9794871794871794,1.048913043478261,1.0060901339829476,1.0400890868596881,1.0833333333333335,1.0364963503649636,1.0396600566572238,1.04375,1.0014619883040934,1.0427350427350426,1.1263157894736842,1.1225296442687747,1.0053333333333334,1.0725806451612903,1.0754098360655737,1.0745920745920747,1.1121076233183858,1.0632911392405062,1.1538461538461537,1.0516129032258066,0.9871244635193133,1.0646153846153845,0.9676258992805755,0.23170731707317074,0.4878048780487805,-8.27,0.64,-7.63,0.9586935638808838,1.0413064361191164,-8.6,1.0247046186895812,0.9772727272727273,0.8982035928143711,0.9254302103250477,0.9288702928870294,0.9788732394366197,1.1280276816608998,0.9090909090909091,1.0439330543933054,1.028169014084507,0.9718706047819972,1.121212121212121,-1.0
Houston Rockets 2000,0.9945652173913044,0.9902557856272838,1.0022271714922049,1.4791666666666667,1.445255474452555,1.0141643059490084,0.921875,0.8991228070175438,1.0256410256410255,1.0105263157894737,1.0355731225296443,0.9773333333333333,0.9919354838709677,1.0327868852459017,1.020979020979021,0.968609865470852,0.9493670886075949,1.0192307692307692,1.1225806451612903,0.871244635193133,1.0205128205128204,1.0679347826086956,1.05115712545676,1.0155902004454342,0.8958333333333334,0.8832116788321168,1.0028328611898016,1.096875,1.0847953216374269,1.0106837606837606,0.9157894736842105,0.8814229249011858,1.0386666666666666,1.0080645161290323,0.9803278688524589,0.9883449883449883,1.0179372197309415,1.1392405063291138,1.0192307692307692,0.8838709677419354,0.9613733905579398,1.0287179487179487,0.9460431654676259,0.4146341463414634,0.9512195121951219,-0.87,0.3,-0.57,1.0067243035542748,1.015369836695485,-0.9,1.0118152524167563,1.0454545454545454,1.4610778443113772,1.0248565965583174,1.0334728033472804,1.1126760563380282,1.0069204152249136,1.0216450216450215,1.006276150627615,0.8802816901408451,1.0070323488045008,0.8701298701298701,-1.0
